station_code,page,raw_table_text
D14A064,474,"Maks.       0.240    0.325    0.200    0.200    0.460    0.420    0.620    1.37     0.325    0.900    0.370    0.280
Min.        0.122    0.160    0.160    0.087    0.056    0.280    0.370    0.122    0.087    0.030    0.011    0.011
Ortalama    0.206    0.228    0.188    0.174    0.214    0.320    0.537    0.525    0.183    0.184    0.092    0.066
LT/SN/Km2   2.06     2.28     1.88     1.74     2.14     3.20     5.37     5.25     1.83     1.84     0.918    0.661
AKIM mm.    5.53     5.91     5.05     4.67     5.18     8.56    13.9     14.1      4.75     4.92     2.46     1.71
MİL. M3     0.553    0.591    0.505    0.467    0.518    0.856    1.39     1.41     0.475    0.492    0.246    0.171
========================================================================================================================
SU YILI  ( 2007 )  YILLIK TOPLAM AKIM  7.67 MİLYON M3         77 MM.        2.4 LT/SN/Km2"
D14A081,476,"Maks.       0.070    0.070    0.930    0.215    1.54     0.620    0.070    0.310    2.24     0.070    7.94     0.260
Min.        0.002    0.009    0.009    0.020    0.009    0.020    0.009    0.040    0.002    0.002    0.002    0.009
Ortalama    0.012    0.028    0.070    0.072    0.087    0.089    0.030    0.106    0.084    0.021    0.010    0.015
LT/SN/Km2   1.22     2.86     7.04     7.28     8.74     9.01     3.07    10.7      8.52     2.11     1.01     1.54
AKIM mm.    3.27     7.41    18.9     19.5     21.2     24.1      7.97    28.7     22.1      5.66     2.70     3.99
MİL. M3     0.032    0.073    0.187    0.193    0.209    0.239    0.079    0.284    0.219    0.056    0.027    0.039
========================================================================================================================
SU YILI  ( 2007 )  YILLIK TOPLAM AKIM  1.64 MİLYON M3         165 MM.        5.2 LT/SN/Km2"
D14A162,492,"Maks.      18.0     58.8      3.89     3.67     7.20    74.8     66.0     44.9      8.34     2.81    24.6      1.05
Min.        1.49     3.46     1.95     1.49     2.38     4.72    14.5      7.58     2.38     1.05     0.750    0.945
Ortalama    3.39     9.79     2.72     2.25     3.96    17.9     26.0     20.9      4.85     1.76     1.14     0.991
LT/SN/Km2   4.76    13.7      3.82     3.16     5.55    25.2     36.4     29.4      6.81     2.47     1.60     1.39
AKIM mm.   12.8     35.6     10.2      8.46    13.4     67.4     94.5     78.7     17.7      6.61     4.27     3.60
MİL. M3     9.09    25.4      7.29     6.03     9.57    48.0     67.3     56.1     12.6      4.71     3.05     2.57
========================================================================================================================
SU YILI  ( 2007 )  YILLIK TOPLAM AKIM  251.71 MİLYON M3         353 MM.        11.2 LT/SN/Km2"
D22A093,766,"Maks.      26.6     33.8      6.66    12.6     18.0     45.0     29.0     42.6      4.70    68.7     13.0     19.0
Min.        0.720    2.10     1.46     2.22     4.04     4.70     3.60     1.25     0.540    0.540    0.630    0.630
Ortalama    3.93     7.27     2.93     4.69     9.01    17.0     10.2      8.42     1.16     2.56     0.784    2.23
LT/SN/Km2  18.7     34.6     14.0     22.4     42.9     81.1     48.4     40.1      5.54    12.2      3.73    10.6
AKIM mm.   50.2     89.7     37.4     59.9    104.     217.     126.     107.      14.4     32.6      9.99    27.6
MİL. M3    10.5     18.8      7.85    12.6     21.8     45.6     26.4     22.6      3.01     6.85     2.10     5.79
========================================================================================================================
SU YILI  ( 2007 )  YILLIK TOPLAM AKIM  183.90 MİLYON M3         876 MM.        27.8 LT/SN/Km2"
D22A105,773,"Maks.      50.2     26.7     10.3     15.6     11.1     26.7      6.50    11.1     18.1     13.8    110.      42.2
Min.        0.940    0.725    0.600    1.00     1.56     1.88     0.895    0.295    0.138    0.052    0.069    0.063
Ortalama    4.12     3.52     1.44     2.87     3.78     5.42     1.79     1.09     0.491    0.580    0.853    1.68
LT/SN/Km2  55.2     47.2     19.4     38.6     50.7     72.7     24.1     14.6      6.60     7.78    11.5     22.5
AKIM mm.  148.     122.      51.9    103.     123.     195.      62.4     39.2     17.1     20.8     30.7     58.4
MİL. M3    11.0      9.12     3.86     7.70     9.14    14.5      4.65     2.92     1.27     1.55     2.28     4.35
========================================================================================================================
SU YILI  ( 2007 )  YILLIK TOPLAM AKIM  72.34 MİLYON M3         971 MM.        30.8 LT/SN/Km2"
D22A106,774,"Maks.       7.80    12.5      6.60     9.88    12.0     20.7     20.0     23.9     20.7     34.3     15.7     13.8
Min.        0.706    0.968    0.706    0.968    1.60     2.02     1.40     0.774    0.502    0.502    0.704    0.546
Ortalama    1.44     2.62     1.36     2.32     3.08     5.45     3.93     5.17     0.923    2.27     1.19     1.79
LT/SN/Km2  11.8     21.5     11.2     19.1     25.3     44.7     32.3     42.4      7.56    18.6      9.73    14.7
AKIM mm.   31.6     55.7     30.0     51.0     61.1    120.      83.6    114.      19.6     49.7     26.1     38.1
MİL. M3     3.86     6.80     3.65     6.23     7.45    14.6     10.2     13.9      2.39     6.07     3.18     4.65
========================================================================================================================
SU YILI  ( 2007 )  YILLIK TOPLAM AKIM  82.98 MİLYON M3         680 MM.        21.6 LT/SN/Km2"
