station_code,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A064,473,0.375,0.265,0.684,0.375,0.541,3.4,2.19,1.39,0.639,0.486,0.265,0.265,0.112,0.136,0.165,0.233,0.233,0.315,0.569,0.569,0.211,0.09,0.055,0.055,0.174,0.182,0.225,0.237,0.279,0.676,0.701,0.731,0.386,0.149,0.08,0.083,1.74,1.82,2.25,2.37,2.79,6.76,7.01,7.31,3.86,1.49,0.8,0.831,4.66,4.72,6.02,6.34,6.75,18.1,18.2,19.6,10.0,4.0,2.14,2.15,0.466,0.472,0.602,0.634,0.675,1.81,1.82,1.96,1.0,0.4,0.214,0.215,10270000.0,103.0,3.3
D14A081,475,,,,0.27,0.132,1.31,0.42,2.4,0.916,0.1,0.04,0.556,,,,0.04,0.07,0.07,0.1,0.132,0.04,0.009,0.002,,0.019,0.016,0.123,0.066,0.085,0.205,0.167,0.315,0.13,0.048,0.019,0.008,1.94,1.57,12.4,6.62,8.59,20.7,16.9,31.8,13.2,4.82,1.93,0.815,5.2,4.07,33.2,17.7,20.8,55.4,43.8,85.1,34.1,12.9,5.18,2.11,0.051,0.04,0.329,0.176,0.206,0.548,0.434,0.843,0.337,0.128,0.051,0.021,3160000.0,320.0,10.1
D14A117,478,0.436,0.222,,3.09,1.37,9.9,,,0.581,0.363,0.726,0.131,0.096,0.128,0.175,0.175,0.316,0.508,,,0.175,0.071,0.071,0.07,0.152,0.167,0.545,0.379,0.506,1.6,1.01,0.788,0.302,0.161,0.12,0.093,1.95,2.14,6.98,4.86,6.48,20.5,13.0,10.1,3.88,2.07,1.53,1.2,5.23,5.56,18.7,13.0,15.7,54.9,33.7,27.1,10.0,5.54,4.11,3.1,0.408,0.433,1.46,1.01,1.22,4.28,2.63,2.11,0.784,0.432,0.32,0.242,15330000.0,197.0,6.2
D14A162,492,9.19,4.77,7.07,4.01,6.8,97.4,63.9,85.5,31.8,8.13,4.36,3.66,0.002,0.089,0.089,0.308,0.375,2.77,15.2,16.7,7.33,2.21,1.81,1.43,0.801,0.649,1.23,0.963,2.04,14.8,29.9,29.1,13.5,4.92,2.36,2.14,1.12,0.91,1.72,1.35,2.86,20.7,41.9,40.8,18.9,6.9,3.31,3.01,3.01,2.36,4.61,3.62,6.93,55.5,109.0,109.0,49.1,18.5,8.86,7.79,2.15,1.68,3.29,2.58,4.94,39.5,77.5,78.0,35.0,13.2,6.31,5.55,269700000.0,378.0,12.0
D14A172,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D14A176,499,42.9,4.96,9.81,4.44,4.97,65.2,48.3,57.3,37.0,15.9,16.2,17.5,4.65,2.97,2.72,2.82,2.68,3.24,6.65,10.3,10.8,8.1,6.04,5.84,10.2,3.7,4.4,3.47,3.31,10.4,10.8,38.0,19.1,10.0,8.94,8.21,2.69,0.979,1.16,0.917,0.876,2.74,2.87,10.0,5.06,2.65,2.36,2.17,7.21,2.54,3.12,2.46,2.12,7.35,7.43,26.9,13.1,7.11,6.33,5.63,27.3,9.6,11.8,9.29,8.02,27.8,28.1,102.0,49.6,26.9,24.0,21.3,345710000.0,91.0,2.9
D14A179,502,273.0,292.0,264.0,385.0,351.0,355.0,331.0,315.0,425.0,731.0,309.0,305.0,34.0,29.2,30.0,31.0,32.0,34.0,40.0,38.0,127.0,39.0,41.0,,160.0,149.0,154.0,175.0,127.0,244.0,275.0,269.0,302.0,208.0,167.0,127.0,4.45,4.17,4.29,4.88,3.53,6.79,7.66,7.51,8.42,5.8,4.65,3.55,11.9,10.8,11.5,13.1,8.54,18.2,19.9,20.1,21.8,15.5,12.5,9.21,428.0,387.0,412.0,469.0,306.0,652.0,712.0,721.0,782.0,557.0,447.0,330.0,6203000000.0,173.0,5.5
D22A093,785,37.6,15.1,2.95,4.03,13.0,33.1,22.7,28.3,16.4,12.5,31.6,29.2,0.549,0.479,0.411,0.72,1.26,2.58,3.32,2.51,1.02,0.549,0.479,0.347,6.34,1.85,0.719,1.54,4.29,8.45,9.81,8.18,4.17,1.78,4.74,1.11,30.2,8.81,3.42,7.32,20.4,40.2,46.7,38.9,19.8,8.46,22.6,5.27,80.9,22.8,9.17,19.6,49.4,108.0,121.0,104.0,51.4,22.7,60.5,13.7,17.0,4.79,1.93,4.12,10.4,22.6,25.4,21.9,10.8,4.76,12.7,2.87,139270000.0,663.0,21.0
D22A105,790,42.1,3.7,26.5,22.7,75.4,31.1,15.5,6.2,62.0,89.8,54.2,17.9,0.203,0.247,0.247,1.17,1.17,1.7,1.17,0.653,0.57,0.36,0.615,0.354,3.75,0.531,4.12,3.37,4.45,5.74,2.65,1.9,2.81,4.0,3.64,0.563,50.3,7.12,55.3,45.3,59.8,77.0,35.6,25.5,37.7,53.7,48.9,7.55,135.0,18.5,148.0,121.0,145.0,206.0,92.4,68.4,97.8,144.0,131.0,19.6,10.0,1.38,11.0,9.04,10.8,15.4,6.88,5.1,7.29,10.7,9.75,1.46,98800000.0,1326.0,42.1
