station_code,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A064,456,0.68,0.44,0.44,1.3,3.2,6.4,4.05,0.92,0.84,0.44,0.105,0.118,0.15,0.21,0.25,0.33,0.6,0.84,0.76,0.33,0.21,0.08,0.059,0.059,0.195,0.262,0.267,0.507,0.756,1.18,0.99,0.572,0.353,0.193,0.078,0.089,1.95,2.62,2.67,5.07,7.56,11.8,9.9,5.72,3.53,1.93,0.778,0.889,5.24,6.79,7.16,13.6,18.3,31.5,25.7,15.3,9.14,5.17,2.08,2.3,0.524,0.679,0.716,1.36,1.83,3.15,2.57,1.53,0.914,0.517,0.208,0.23,14230000.0,142.0,4.5
D14A117,459,0.22,1.95,0.905,5.53,12.2,4.95,3.8,1.12,1.53,0.3,0.13,0.13,0.13,0.13,0.26,0.52,0.905,0.59,0.52,0.35,0.22,0.1,0.049,0.049,0.139,0.467,0.431,1.12,1.48,1.31,1.26,0.582,0.422,0.156,0.069,0.075,1.78,5.98,5.53,14.4,19.0,16.7,16.1,7.46,5.4,2.0,0.883,0.956,4.77,15.5,14.8,38.6,46.0,44.8,41.8,20.0,14.0,5.36,2.36,2.48,0.372,1.21,1.16,3.01,3.58,3.5,3.26,1.56,1.09,0.418,0.184,0.193,19540000.0,250.0,7.9
D14A162,474,2.38,91.1,33.6,21.8,63.1,104.0,48.3,16.3,22.2,4.92,1.49,1.05,0.894,1.05,4.92,10.7,11.1,16.3,13.9,8.5,2.6,0.153,0.048,0.039,1.21,12.2,11.7,14.1,19.2,28.6,18.9,13.2,6.48,1.58,0.105,0.07,1.7,17.2,16.4,19.7,27.0,40.2,26.5,18.5,9.1,2.22,0.148,0.098,4.57,44.5,43.9,52.8,65.2,108.0,68.6,49.5,23.6,5.96,0.395,0.253,3.25,31.7,31.3,37.6,46.5,76.7,48.9,35.3,16.8,4.24,0.282,0.18,332750000.0,467.0,14.8
D14A172,481,161.0,205.0,224.0,218.0,166.0,418.0,233.0,235.0,183.0,183.0,176.0,161.0,11.0,13.8,45.0,95.6,54.1,132.0,64.0,21.1,39.4,34.9,40.3,10.0,61.2,97.5,119.0,150.0,132.0,211.0,189.0,175.0,96.4,92.4,114.0,61.8,5.72,9.12,11.1,14.0,12.3,19.8,17.7,16.3,9.01,8.64,10.7,5.78,15.3,23.6,29.9,37.5,29.9,52.9,45.8,43.8,23.4,23.1,28.6,15.0,164.0,253.0,319.0,401.0,319.0,566.0,490.0,468.0,250.0,247.0,306.0,160.0,3943000000.0,369.0,11.7
D14A176,485,19.2,4.75,5.67,20.8,79.0,58.1,24.0,20.8,42.0,12.8,20.0,17.1,3.6,3.44,2.96,3.6,7.05,11.8,7.28,4.06,5.9,4.98,5.9,6.13,12.7,5.27,5.26,8.43,27.5,34.2,13.0,10.1,12.9,10.7,12.6,12.9,3.35,1.39,1.39,2.23,7.27,9.04,3.44,2.66,3.4,2.82,3.33,3.42,8.97,3.61,3.73,5.97,17.6,24.2,8.92,7.12,8.81,7.55,8.93,8.87,33.9,13.7,14.1,22.6,66.6,91.5,33.8,26.9,33.3,28.5,33.8,33.6,432300000.0,114.0,3.6
D14A179,488,268.0,280.0,275.0,286.0,513.0,488.0,439.0,353.0,340.0,396.0,264.0,238.0,38.2,39.0,39.0,51.0,215.0,233.0,250.0,56.0,54.0,56.0,44.4,33.9,130.0,182.0,189.0,231.0,320.0,371.0,307.0,268.0,180.0,212.0,145.0,116.0,3.62,5.08,5.27,6.44,8.92,10.3,8.55,7.46,5.01,5.92,4.04,3.24,9.68,13.2,14.1,17.2,21.6,27.7,22.2,20.0,13.0,15.9,10.8,8.4,347.0,472.0,507.0,618.0,774.0,994.0,795.0,717.0,466.0,569.0,388.0,301.0,6948000000.0,194.0,6.1
D22A093,752,18.8,152.0,16.2,26.6,40.2,54.0,19.0,34.6,28.4,9.06,2.77,1.9,0.41,2.28,2.72,2.72,4.26,3.76,2.55,1.2,0.62,0.78,0.46,0.54,2.28,16.8,5.21,6.0,13.5,9.21,6.5,3.23,3.06,1.8,0.584,0.742,10.8,80.0,24.8,28.6,64.4,43.9,31.0,15.4,14.6,8.57,2.78,3.53,29.1,207.0,66.4,76.5,156.0,118.0,80.2,41.3,37.8,23.0,7.45,9.15,6.1,43.5,14.0,16.1,32.7,24.7,16.8,8.66,7.94,4.82,1.56,1.92,178800000.0,851.0,27.0
D22A105,757,16.5,41.4,25.5,12.9,11.6,14.2,23.7,3.8,47.0,200.0,4.35,2.38,0.22,0.42,0.48,0.85,0.725,0.6,0.54,0.33,0.33,0.06,0.159,0.159,0.891,5.39,1.48,3.0,1.82,2.64,2.47,0.535,1.93,6.71,0.252,0.321,12.0,72.4,19.8,40.2,24.5,35.5,33.2,7.18,25.9,90.1,3.38,4.31,32.0,188.0,53.2,108.0,59.2,95.0,86.1,19.2,67.1,241.0,9.05,11.2,2.39,14.0,3.96,8.03,4.41,7.07,6.41,1.43,5.0,18.0,0.674,0.832,72210000.0,969.0,30.7
