station_code,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A064,474,0.24,0.325,0.2,0.2,0.46,0.42,0.62,1.37,0.325,0.9,0.37,0.28,0.122,0.16,0.16,0.087,0.056,0.28,0.37,0.122,0.087,0.03,0.011,0.011,0.206,0.228,0.188,0.174,0.214,0.32,0.537,0.525,0.183,0.184,0.092,0.066,2.06,2.28,1.88,1.74,2.14,3.2,5.37,5.25,1.83,1.84,0.918,0.661,5.53,5.91,5.05,4.67,5.18,8.56,13.9,14.1,4.75,4.92,2.46,1.71,0.553,0.591,0.505,0.467,0.518,0.856,1.39,1.41,0.475,0.492,0.246,0.171,7670000.0,77.0,2.4
D14A081,476,0.07,0.07,0.93,0.215,1.54,0.62,0.07,0.31,2.24,0.07,7.94,0.26,0.002,0.009,0.009,0.02,0.009,0.02,0.009,0.04,0.002,0.002,0.002,0.009,0.012,0.028,0.07,0.072,0.087,0.089,0.03,0.106,0.084,0.021,0.01,0.015,1.22,2.86,7.04,7.28,8.74,9.01,3.07,10.7,8.52,2.11,1.01,1.54,3.27,7.41,18.9,19.5,21.2,24.1,7.97,28.7,22.1,5.66,2.7,3.99,0.032,0.073,0.187,0.193,0.209,0.239,0.079,0.284,0.219,0.056,0.027,0.039,1640000.0,165.0,5.2
D14A162,492,18.0,58.8,3.89,3.67,7.2,74.8,66.0,44.9,8.34,2.81,24.6,1.05,1.49,3.46,1.95,1.49,2.38,4.72,14.5,7.58,2.38,1.05,0.75,0.945,3.39,9.79,2.72,2.25,3.96,17.9,26.0,20.9,4.85,1.76,1.14,0.991,4.76,13.7,3.82,3.16,5.55,25.2,36.4,29.4,6.81,2.47,1.6,1.39,12.8,35.6,10.2,8.46,13.4,67.4,94.5,78.7,17.7,6.61,4.27,3.6,9.09,25.4,7.29,6.03,9.57,48.0,67.3,56.1,12.6,4.71,3.05,2.57,251710000.0,353.0,11.2
D22A093,766,26.6,33.8,6.66,12.6,18.0,45.0,29.0,42.6,4.7,68.7,13.0,19.0,0.72,2.1,1.46,2.22,4.04,4.7,3.6,1.25,0.54,0.54,0.63,0.63,3.93,7.27,2.93,4.69,9.01,17.0,10.2,8.42,1.16,2.56,0.784,2.23,18.7,34.6,14.0,22.4,42.9,81.1,48.4,40.1,5.54,12.2,3.73,10.6,50.2,89.7,37.4,59.9,104.0,217.0,126.0,107.0,14.4,32.6,9.99,27.6,10.5,18.8,7.85,12.6,21.8,45.6,26.4,22.6,3.01,6.85,2.1,5.79,183900000.0,876.0,27.8
D22A105,773,50.2,26.7,10.3,15.6,11.1,26.7,6.5,11.1,18.1,13.8,110.0,42.2,0.94,0.725,0.6,1.0,1.56,1.88,0.895,0.295,0.138,0.052,0.069,0.063,4.12,3.52,1.44,2.87,3.78,5.42,1.79,1.09,0.491,0.58,0.853,1.68,55.2,47.2,19.4,38.6,50.7,72.7,24.1,14.6,6.6,7.78,11.5,22.5,148.0,122.0,51.9,103.0,123.0,195.0,62.4,39.2,17.1,20.8,30.7,58.4,11.0,9.12,3.86,7.7,9.14,14.5,4.65,2.92,1.27,1.55,2.28,4.35,72340000.0,971.0,30.8
D22A106,774,7.8,12.5,6.6,9.88,12.0,20.7,20.0,23.9,20.7,34.3,15.7,13.8,0.706,0.968,0.706,0.968,1.6,2.02,1.4,0.774,0.502,0.502,0.704,0.546,1.44,2.62,1.36,2.32,3.08,5.45,3.93,5.17,0.923,2.27,1.19,1.79,11.8,21.5,11.2,19.1,25.3,44.7,32.3,42.4,7.56,18.6,9.73,14.7,31.6,55.7,30.0,51.0,61.1,120.0,83.6,114.0,19.6,49.7,26.1,38.1,3.86,6.8,3.65,6.23,7.45,14.6,10.2,13.9,2.39,6.07,3.18,4.65,82980000.0,680.0,21.6
