station_code,page,raw_table_text
D14A081,453,"Maks.       0.100    0.550    0.420    0.132    0.132    0.310    0.100    0.132    0.040    0.020    0.009    0.100
Min.         KURU    0.020    0.040    0.040    0.070    0.040    0.040    0.020    0.020    0.009     KURU     KURU
Ortalama    0.019    0.053    0.077    0.081    0.105    0.093    0.045    0.058    0.020    0.009    0.004    0.006
LT/SN/Km2   1.92     5.39     7.75     8.17    10.6      9.42     4.55     5.85     2.02     0.945    0.427    0.596
AKIM mm.    5.15    14.0     20.8     21.9     26.5     25.2     11.8     15.7      5.24     2.53     1.14     1.54
MİL. M3     0.051    0.138    0.206    0.217    0.262    0.250    0.117    0.155    0.052    0.025    0.011    0.015
========================================================================================================================
SU YILI  ( 2008 )  YILLIK TOPLAM AKIM  1.50 MİLYON M3         151 MM.        4.8 LT/SN/Km2"
D14A141,467,"Maks.       0.012    0.030    0.086    0.006    0.019    0.345    0.120    0.103    0.066    0.030    0.019    0.030
Min.        0.006    0.006    0.006    0.006    0.006    0.012    0.040    0.040    0.019    0.012    0.003    0.003
Ortalama    0.009    0.013    0.007    0.006    0.008    0.073    0.081    0.055    0.036    0.018    0.007    0.006
LT/SN/Km2   0.424    0.633    0.338    0.286    0.374    3.46     3.85     2.62     1.72     0.871    0.320    0.267
AKIM mm.    1.14     1.64     0.905    0.765    0.938    9.26     9.97     7.02     4.46     2.33     0.856    0.691
MİL. M3     0.024    0.034    0.019    0.016    0.020    0.194    0.209    0.147    0.094    0.049    0.018    0.015
========================================================================================================================
SU YILI  ( 2008 )  YILLIK TOPLAM AKIM  0.84 MİLYON M3         40 MM.        1.3 LT/SN/Km2"
D14A162,474,"Maks.       4.410     4.920    16.700     7.300     7.000    120.000   44.400    23.000    11.400     3.950     5.960     2.600
Min.        0.945     0.945     2.150     2.380     2.830     7.900    14.900     8.800     3.730     0.738     0.400     0.400
Ortalama    1.630     2.570     6.460     4.260     3.520    37.800    23.700    12.700     6.720     1.830     0.813     0.747
LT/SN/Km2   2.280     3.600     9.070     5.970     4.940    53.100    33.200    17.900     9.430     2.570     1.140     1.050
AKIM mm.    6.110     9.340    24.300    16.000    12.400    142.000   86.000    47.900    24.400     6.880     3.060     2.720
MİL. M3     4.350     6.660    17.300    11.400     8.810    101.000   61.300    34.100    17.400     4.900     2.180     1.940
===============================================================================================================================
SU YILI  ( 2008 )  YILLIK TOPLAM AKIM  271.34 MİLYON M3         381 MM.        12.1 LT/SN/Km2"
D14A176,481,"Maks.      19.600     3.440     5.440     2.000     1.910    84.500    49.700    18.400    35.200     8.890    12.600    32.400
Min.        2.320     2.320     1.820     1.460     1.460     1.820     5.900     4.060     4.750     4.980     5.670     9.350
Ortalama    6.270     2.830     2.420     1.640     1.590    31.300    17.800     8.010     9.710     6.700     8.660    14.000
LT/SN/Km2   1.660     0.749     0.641     0.434     0.420     8.280     4.700     2.120     2.570     1.770     2.290     3.700
AKIM mm.    4.440     1.940     1.720     1.160     1.050    22.200    12.200     5.670     6.660     4.740     6.130     9.590
MİL. M3    16.800     7.340     6.490     4.400     3.980    83.900    46.100    21.400    25.200    17.900    23.200    36.300
===============================================================================================================================
SU YILI  ( 2008 )  YILLIK TOPLAM AKIM  293.01 MİLYON M3         77 MM.        2.5 LT/SN/Km2"
D22A093,750,"Maks.      52.2     47.7     18.5      1.60     9.90    90.0     13.2     16.8     94.0      4.60     6.20    56.6
Min.        0.630    1.03     0.948    0.500    0.335    2.55     0.948    0.780    0.540    0.948    0.780    0.864
Ortalama    3.62     7.62     2.64     1.18     2.28    22.2      4.26     3.56     7.73     1.72     1.55     6.70
LT/SN/Km2  17.2     36.3     12.6      5.60    10.9    106.      20.3     16.9     36.8      8.21     7.36    31.9
AKIM mm.   46.2     94.1     33.6     15.0     27.2    283.      52.5     45.4     95.4     22.0     19.7     82.7
MİL. M3     9.70    19.8      7.06     3.15     5.72    59.5     11.0      9.53    20.0      4.62     4.14    17.4
========================================================================================================================
SU YILI  ( 2008 )  YILLIK TOPLAM AKIM  171.62 MİLYON M3         817 MM.        25.8 LT/SN/Km2"
D22A098,754,"Maks.      32.700    122.000    5.640     3.230     3.670    54.200    38.000    26.500    24.700     5.460    13.700     7.670
Min.        0.743     2.570     2.700     2.020     2.240     3.970     7.960     9.700     5.020     1.570     1.030     0.777
Ortalama    3.400     7.680     3.380     2.320     2.510    18.400    19.800    15.600     9.340     2.700     1.390     1.300
LT/SN/Km2  10.600    23.900    10.500     7.230     7.800    57.300    61.600    48.400    29.000     8.390     4.330     4.060
AKIM mm.   28.300    61.900    28.200    19.400    19.500    153.000   160.000   130.000   75.300    22.500    11.600    10.500
MİL. M3     9.110    19.900     9.060     6.220     6.280    49.300    51.300    41.700    24.200     7.230     3.730     3.380
===============================================================================================================================
SU YILI  ( 2008 )  YILLIK TOPLAM AKIM  231.41 MİLYON M3         720 MM.        22.8 LT/SN/Km2"
D22A105,758,"Maks.      33.2     64.5     18.5      3.80    18.5     25.7      3.25     5.90    29.6      1.47     3.40    34.4
Min.        0.130    0.530    0.600    0.600    0.920    0.600    0.330    0.220    0.160    0.110    0.110    0.110
Ortalama    1.62     4.61     2.40     0.910    2.98     5.28     0.800    0.563    1.37     0.248    0.237    0.801
LT/SN/Km2  21.7     61.9     32.2     12.2     40.0     70.9     10.7      7.56    18.3      3.33     3.19    10.7
AKIM mm.   58.2    161.      86.3     32.7    100.     190.      27.8     20.2     47.5      8.93     8.54    27.9
MİL. M3     4.34    12.0      6.43     2.44     7.46    14.2      2.07     1.51     3.54     0.665    0.636    2.08
========================================================================================================================
SU YILI  ( 2008 )  YILLIK TOPLAM AKIM  57.37 MİLYON M3         770 MM.        24.3 LT/SN/Km2"
D22A106,759,"Maks.      31.400    21.900    10.200     2.260     9.530    16.800     8.460     9.530    32.800     3.700     0.704     2.130
Min.        0.472     0.782     0.472     0.347     1.040     2.130     0.546     0.347     0.268     0.397     0.170     0.079
Ortalama    3.160     4.220     2.020     1.120     2.920     7.070     1.590     1.920     2.620     0.843     0.347     0.313
LT/SN/Km2  25.900    34.600    16.600     9.140    23.900    58.000    13.000    15.700    21.500     6.910     2.850     2.570
AKIM mm.   69.300    89.700    44.400    24.500    59.900    155.000   33.800    42.000    55.700    18.500     7.630     6.650
MİL. M3     8.460    10.900     5.420     2.990     7.310    18.900     4.120     5.130     6.800     2.260     0.930     0.811
===============================================================================================================================
SU YILI  ( 2008 )  YILLIK TOPLAM AKIM  74.03 MİLYON M3         607 MM.        19.2 LT/SN/Km2"
