station_code,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A011,462,0.582,0.495,0.273,0.164,0.164,0.12,3.76,6.99,12.5,14.8,11.9,9.97,0.34,0.216,0.12,0.057,0.057,0.037,0.084,0.674,0.001,0.769,0.495,0.417,0.486,0.433,0.201,0.083,0.131,0.074,1.53,2.02,2.32,11.4,5.03,1.24,3.35,2.99,1.39,0.57,0.904,0.51,10.6,13.9,16.0,78.5,34.7,8.57,8.96,7.74,3.72,1.53,2.27,1.36,27.4,37.2,41.5,210.0,92.9,22.2,1.3,1.12,0.539,0.222,0.329,0.198,3.97,5.4,6.02,30.5,13.5,3.22,66319999.99999999,457.0,14.5
D14A064,469,0.31,0.632,0.549,1.01,1.97,6.05,1.11,1.42,0.684,0.225,0.108,0.05,0.002,0.115,0.115,0.02,0.063,0.632,0.463,0.19,0.19,0.05,0.012,0.007,0.144,0.277,0.192,0.249,0.532,1.12,0.635,0.593,0.414,0.077,0.042,0.024,1.44,2.77,1.92,2.49,5.32,11.2,6.35,5.93,4.14,0.771,0.424,0.236,3.85,7.18,5.14,6.68,13.3,29.9,16.5,15.9,10.7,2.06,1.14,0.611,0.385,0.718,0.514,0.668,1.33,2.99,1.65,1.59,1.07,0.206,0.114,0.061,11300000.0,113.0,3.6
D14A081,471,0.07,0.044,0.07,0.044,0.215,0.36,0.215,1.38,0.31,0.025,0.025,0.025,0.012,0.012,0.005,0.012,0.012,0.025,0.044,0.044,0.012,0.012,0.005,0.005,0.018,0.012,0.011,0.013,0.054,0.064,0.084,0.07,0.029,0.012,0.015,0.015,1.84,1.26,1.12,1.3,5.45,6.43,8.51,7.11,2.93,1.21,1.55,1.56,4.93,3.26,2.99,3.47,13.7,17.2,22.0,19.0,7.59,3.25,4.15,4.05,0.049,0.032,0.03,0.034,0.135,0.171,0.218,0.188,0.075,0.032,0.041,0.04,1040000.0,106.0,3.3
D14A117,475,0.13,0.17,0.22,0.22,3.6,2.4,1.12,0.735,0.735,0.22,0.13,0.1,0.049,0.1,0.1,0.049,0.07,0.735,0.26,0.13,0.1,0.13,0.032,0.032,0.077,0.115,0.131,0.071,0.68,1.33,0.505,0.31,0.235,0.167,0.085,0.065,0.988,1.47,1.68,0.912,8.71,17.1,6.47,3.98,3.01,2.14,1.09,0.835,2.65,3.82,4.51,2.44,21.8,45.8,16.8,10.7,7.81,5.74,2.93,2.16,0.206,0.298,0.352,0.191,1.7,3.57,1.31,0.832,0.609,0.448,0.228,0.169,9910000.0,127.0,4.0
D14A141,481,1.29,1.37,0.032,0.022,0.065,0.014,0.022,0.065,0.022,3.6,0.007,0.009,0.009,0.014,0.014,0.009,0.007,,0.007,0.007,0.007,,,0.003,0.677,0.235,0.016,0.014,0.012,0.007,0.01,0.028,0.011,0.31,0.006,0.007,32.2,11.2,0.753,0.644,0.558,0.355,0.486,1.34,0.522,14.7,0.263,0.33,86.3,29.1,2.02,1.72,1.4,0.95,1.26,3.58,1.35,39.5,0.704,0.856,1.81,0.61,0.042,0.036,0.029,0.02,0.026,0.075,0.028,0.829,0.015,0.018,3540000.0,168.0,5.3
D14A162,486,4.2,4.95,9.29,10.5,24.4,72.5,37.8,47.8,22.5,5.36,4.08,2.38,1.07,0.906,1.07,1.18,2.37,5.63,12.7,7.51,1.94,0.646,0.461,0.518,1.37,1.29,1.71,2.14,5.66,21.7,19.3,18.0,5.76,2.23,1.15,1.04,1.92,1.81,2.4,3.0,7.94,30.4,27.1,25.3,8.08,3.13,1.61,1.46,5.13,4.68,6.42,8.03,19.9,81.5,70.2,67.7,20.9,8.38,4.32,3.78,3.66,3.34,4.57,5.73,14.2,58.1,50.0,48.2,14.9,5.97,3.08,2.7,214450000.0,301.0,9.5
D14A172,489,194.0,206.0,215.0,197.0,197.0,212.0,210.0,197.0,201.0,207.0,210.0,210.0,11.3,11.2,11.0,11.0,11.2,11.3,11.5,11.3,11.5,11.0,11.0,9.2,62.8,58.9,49.2,36.0,51.3,60.9,34.6,47.5,58.2,51.5,48.2,52.5,5.88,5.5,4.6,3.37,4.8,5.7,3.23,4.44,5.44,4.81,4.5,4.91,15.7,14.3,12.3,9.03,12.0,15.3,8.38,11.9,14.1,12.9,12.1,12.7,168.0,153.0,132.0,96.5,129.0,163.0,89.6,127.0,151.0,138.0,129.0,136.0,1612100000.0,151.0,4.8
D14A176,491,3.83,2.67,2.51,2.82,19.8,11.6,6.81,8.67,8.04,6.4,8.04,10.9,2.67,1.94,1.94,2.51,2.23,2.67,2.37,2.23,2.08,2.51,2.37,2.23,3.24,2.17,2.43,2.72,3.64,5.98,3.85,3.25,3.41,3.28,3.22,3.57,0.856,0.573,0.642,0.719,0.962,1.58,1.02,0.859,0.9,0.867,0.851,0.943,2.29,1.48,1.72,1.93,2.41,4.23,2.64,2.3,2.33,2.32,2.28,2.44,8.67,5.62,6.5,7.29,9.12,16.0,9.97,8.71,8.83,8.79,8.63,9.25,107380000.0,28.0,0.9
D14A179,493,248.0,211.0,203.0,205.0,210.0,200.0,259.0,184.0,244.0,244.0,223.0,264.0,51.3,51.3,53.2,17.5,33.8,47.8,17.6,15.8,7.04,7.04,10.6,1.76,154.0,139.0,148.0,132.0,127.0,145.0,144.0,105.0,105.0,127.0,142.0,118.0,4.29,3.86,4.12,3.68,3.54,4.05,4.0,2.94,2.94,3.54,3.97,3.3,11.5,10.0,11.0,9.85,8.86,10.9,10.4,7.87,7.62,9.48,10.6,8.54,412.0,359.0,396.0,353.0,318.0,389.0,372.0,282.0,273.0,340.0,381.0,306.0,4181000000.0,117.0,3.7
D14A184,496,0.115,0.115,0.313,0.211,0.784,1.65,1.22,0.843,0.525,0.211,0.187,0.187,0.048,0.07,0.115,0.093,0.163,0.392,0.571,0.478,0.211,0.093,0.002,0.002,0.08,0.08,0.144,0.134,0.309,0.983,0.807,0.618,0.314,0.144,0.105,0.115,5.76,5.72,10.3,9.58,22.1,70.5,57.8,44.3,22.5,10.4,7.49,8.24,15.4,14.8,27.6,25.6,55.5,189.0,150.0,119.0,58.4,27.7,20.1,21.4,0.215,0.207,0.385,0.358,0.774,2.63,2.09,1.65,0.815,0.387,0.28,0.298,10090000.0,723.0,22.9
