station_code,page,raw_table_text
D14A011,493,"Maks.       2.53      1.45      0.120     0.216     0.057     0.084     8.57      5.94     11.4       8.57      8.57      2.98
Min.        0.037     0.037     0.012     0.037     0.012     0.012     0.037     0.582     0.216     0.004     0.001     0.120
Ortalama    0.318     0.291     0.057     0.128     0.051     0.039     1.25      0.923     3.85      4.30      1.68      0.328
LT/SN/Km2   2.19      2.00      0.390     0.880     0.350     0.270     8.59      6.36     26.6      29.6      11.6       2.26
AKIM mm.    5.87      5.19      1.04      2.36      0.846     0.722    22.3      17.0      68.8      79.3      31.0       5.86
MİL. M3     0.852     0.753     0.151     0.342     0.123     0.105     3.23      2.47      9.99     11.5       4.50      0.850
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  34.87 MİLYON M3         240 MM.        7.6 LT/SN/Km2"
D14A064,500,"Maks.       0.227     0.227     0.339     0.339     0.246     3.22      0.463     1.42      0.907     0.115     0.115     0.239
Min.        0.002     0.072     0.151     0.134     0.107     0.151     0.002     KURU      0.004     0.002     0.004     0.001
Ortalama    0.102     0.120     0.169     0.195     0.213     0.590     0.264     0.196     0.254     0.094     0.046     0.084
LT/SN/Km2   1.02      1.20      1.69      1.95      2.13      5.90      2.64      1.96      2.54      0.940     0.460     0.839
AKIM mm.    2.74      3.10      4.53      5.22      5.15     15.8       6.85      5.25      6.57      2.52      1.23      2.17
MİL. M3     0.274     0.310     0.453     0.522     0.515     1.58      0.685     0.525     0.657     0.252     0.123     0.217
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  6.11 MİLYON M3         61 MM.        1.9 LT/SN/Km2"
D14A081,502,"Maks.       0.070     0.170     0.760     1.30      0.132     0.690     0.215     0.420     1.90      0.098     0.132     3.34
Min.        0.001     0.005     0.005     0.012     0.025     0.025     0.070     0.044     0.012     0.012     0.012     0.012
Ortalama    0.012     0.023     0.032     0.078     0.046     0.128     0.108     0.074     0.051     0.012     0.018     0.087
LT/SN/Km2   1.18      2.28      3.21      7.89      4.68     13.0      11.0       7.51      5.16      1.25      1.78      8.81
AKIM mm.    3.16      5.90      8.59     21.1      11.3      34.7      28.4      20.1      13.4       3.36      4.77     22.8
MİL. M3     0.031     0.058     0.085     0.209     0.112     0.343     0.281     0.199     0.133     0.033     0.047     0.226
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  1.76 MİLYON M3         177 MM.        5.6 LT/SN/Km2"
D14A117,505,"Maks.       0.220     0.130     1.24      4.70      4.00      6.18      1.24      1.12      4.70      0.260     0.130     0.130
Min.        0.032     0.070     0.070     0.170     0.350     0.590     0.220     0.170     0.070     0.070     0.070     0.100
Ortalama    0.097     0.099     0.143     0.501     0.605     1.25      0.439     0.348     0.329     0.143     0.108     0.107
LT/SN/Km2   1.24      1.27      1.84      6.42      7.76     16.0       5.63      4.46      4.22      1.83      1.38      1.37
AKIM mm.    3.33      3.29      4.92     17.2      18.8      42.8      14.6      11.9      10.9       4.91      3.70      3.56
MİL. M3     0.259     0.257     0.384     1.34      1.46      3.34      1.14      0.932     0.854     0.383     0.289     0.277
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  10.92 MİLYON M3         140 MM.        4.4 LT/SN/Km2"
D14A141,509,"Maks.       0.007     0.009     0.007     0.014     0.014     0.220     0.094     0.094     0.120     0.009     0.007     0.007
Min.        KURU      0.001     0.003     KURU      0.007     0.014     0.014     KURU      0.001     0.005     0.001     0.001
Ortalama    0.003     0.005     0.005     0.006     0.011     0.041     0.042     0.016     0.010     0.007     0.005     0.004
LT/SN/Km2   0.129     0.244     0.217     0.301     0.527     1.96      2.00      0.767     0.452     0.343     0.238     0.213
AKIM mm.    0.346     0.634     0.580     0.806     1.28      5.25      5.17      2.05      1.17      0.917     0.638     0.551
MİL. M3     0.007     0.013     0.012     0.017     0.027     0.110     0.109     0.043     0.025     0.019     0.013     0.012
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  0.41 MİLYON M3         19 MM.        0.6 LT/SN/Km2"
D14A162,513,"Maks.       3.38      3.85     19.9       5.09     15.3     111.       15.3      21.4      19.9       4.55      4.82      6.22
Min.        0.518     0.716     1.06      0.959     1.29      5.36      5.09      4.55      2.23      0.879     0.646     0.793
Ortalama    0.830     1.36      2.94      2.32      5.29     19.3       8.06      9.27      6.34      2.29      1.28      1.69
LT/SN/Km2   1.17      1.91      4.13      3.25      7.42     27.1      11.3      13.0       8.90      3.21      1.79      2.38
AKIM mm.    3.12      4.94     11.1       8.71     17.9      72.6      29.3      34.8      23.1       8.60      4.79      6.16
MİL. M3     2.22      3.52      7.88      6.21     12.8      51.7      20.9      24.8      16.4       6.13      3.42      4.39
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  160.37 MİLYON M3         225 MM.        7.1 LT/SN/Km2"
D14A172,515,"Maks.     248.      239.      257.      244.      241.      239.      132.      209.      200.      191.      112.      197.
Min.        4.37      4.60      4.14      2.78      3.23      3.45      4.37      2.34     11.6      11.0      11.0      10.6
Ortalama   57.3      25.0      94.6      53.5      54.9      18.0      13.4      16.0      33.8      33.7      39.7      43.8
LT/SN/Km2   5.36      2.34      8.85      5.01      5.13      1.68      1.25      1.50      3.16      3.15      3.71      4.10
AKIM mm.   14.4       6.06     23.7      13.4      12.4       4.50      3.25      4.00      8.19      8.44      9.94     10.6
MİL. M3   154.       64.7     253.      143.      133.       48.1      34.7      42.8      87.6      90.2     106.      114.
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  1271.10 MİLYON M3         119 MM.        3.8 LT/SN/Km2"
D14A172,516,"Maks.     189.      194.      195.      200.      112.      153.      118.      146.      191.      194.      108.      107.
Min.       11.2      11.2      11.5      11.2      11.3      11.3      11.2      11.0      11.0      10.4      11.0      11.2
Ortalama   37.8      35.3      46.3      58.9      46.7      55.9      60.9      22.9      18.6      49.6      50.2      52.5
LT/SN/Km2   3.53      3.30      4.33      5.51      4.37      5.22      5.69      2.14      1.74      4.64      4.70      4.91
AKIM mm.    9.46      8.55     11.6      14.8      10.6      14.0      14.8       5.73      4.50     12.4      12.6      12.7
MİL. M3   101.       91.4     124.      158.      113.      150.      158.       61.2      48.1     133.      134.      136.
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  1407.70 MİLYON M3         132 MM.        4.2 LT/SN/Km2"
D14A176,518,"Maks.      22.7       2.37      2.37      1.94      2.98     16.0      12.0      15.0       5.80     11.3      18.4      15.0
Min.        2.98      2.23      2.08      1.80      2.37      2.37      4.19      1.94      1.58      3.13      4.19      4.19
Ortalama    6.91      2.34      2.01      1.91      2.13      5.39      3.85      3.39      2.25      4.63      6.45      5.50
LT/SN/Km2   1.83      0.619     0.532     0.504     0.564     1.42      1.02      0.896     0.594     1.22      1.71      1.45
AKIM mm.    4.90      1.60      1.43      1.35      1.37      3.81      2.64      2.40      1.54      3.28      4.57      3.77
MİL. M3    18.5       6.07      5.39      5.11      5.16     14.4       9.97      9.08      5.82     12.4      17.3      14.3
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  123.50 MİLYON M3         33 MM.        1.0 LT/SN/Km2"
D14A179,520,"Maks.     292.      277.      365.      341.      283.      298.      271.      143.       54.3     292.      283.      296.
Min.      100.       86.1      96.3     100.      103.      102.       18.1       1.94      0.700     5.73     64.1      64.1
Ortalama  175.      144.      240.      244.      215.      198.      122.       51.2      23.0     207.      159.      190.
LT/SN/Km2   4.88      4.02      6.69      6.81      5.99      5.51      3.40      1.43      0.642     5.76      4.43      5.29
AKIM mm.   13.1      10.4      17.9      18.2      14.5      14.8       8.81      3.82      1.66     15.4      11.9      13.7
MİL. M3   469.      374.      643.      654.      520.      530.      316.      137.       59.7     553.      425.      492.
===============================================================================================================================
SU YILI  ( 2018 )  YILLIK TOPLAM AKIM  5172.70 MİLYON M3         144 MM.        4.6 LT/SN/Km2"
