station_code,page,raw_table_text
D14A011,462,"Maks.       0.582     0.495     0.273     0.164     0.164     0.120     3.76      6.99     12.5      14.8      11.9       9.97
Min.        0.340     0.216     0.120     0.057     0.057     0.037     0.084     0.674     0.001     0.769     0.495     0.417
Ortalama    0.486     0.433     0.201     0.083     0.131     0.074     1.53      2.02      2.32     11.4       5.03      1.24
LT/SN/Km2   3.35      2.99      1.39      0.570     0.904     0.510    10.6      13.9      16.0      78.5      34.7       8.57
AKIM mm.    8.96      7.74      3.72      1.53      2.27      1.36     27.4      37.2      41.5     210.       92.9      22.2
MİL. M3     1.30      1.12      0.539     0.222     0.329     0.198     3.97      5.40      6.02     30.5      13.5       3.22
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  66.32 MİLYON M3         457 MM.        14.5 LT/SN/Km2"
D14A064,469,"Maks.       0.310     0.632     0.549     1.01      1.97      6.05      1.11      1.42      0.684     0.225     0.108     0.050
Min.        0.002     0.115     0.115     0.020     0.063     0.632     0.463     0.190     0.190     0.050     0.012     0.007
Ortalama    0.144     0.277     0.192     0.249     0.532     1.12      0.635     0.593     0.414     0.077     0.042     0.024
LT/SN/Km2   1.44      2.77      1.92      2.49      5.32     11.2       6.35      5.93      4.14      0.771     0.424     0.236
AKIM mm.    3.85      7.18      5.14      6.68     13.3      29.9      16.5      15.9      10.7       2.06      1.14      0.611
MİL. M3     0.385     0.718     0.514     0.668     1.33      2.99      1.65      1.59      1.07      0.206     0.114     0.061
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  11.30 MİLYON M3         113 MM.        3.6 LT/SN/Km2"
D14A081,471,"Maks.       0.070     0.044     0.070     0.044     0.215     0.360     0.215     1.38      0.310     0.025     0.025     0.025
Min.        0.012     0.012     0.005     0.012     0.012     0.025     0.044     0.044     0.012     0.012     0.005     0.005
Ortalama    0.018     0.012     0.011     0.013     0.054     0.064     0.084     0.070     0.029     0.012     0.015     0.015
LT/SN/Km2   1.84      1.26      1.12      1.30      5.45      6.43      8.51      7.11      2.93      1.21      1.55      1.56
AKIM mm.    4.93      3.26      2.99      3.47     13.7      17.2      22.0      19.0       7.59      3.25      4.15      4.05
MİL. M3     0.049     0.032     0.030     0.034     0.135     0.171     0.218     0.188     0.075     0.032     0.041     0.040
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  1.04 MİLYON M3         106 MM.        3.3 LT/SN/Km2"
D14A117,475,"Maks.       0.130     0.170     0.220     0.220     3.60      2.40      1.12      0.735     0.735     0.220     0.130     0.100
Min.        0.049     0.100     0.100     0.049     0.070     0.735     0.260     0.130     0.100     0.130     0.032     0.032
Ortalama    0.077     0.115     0.131     0.071     0.680     1.33      0.505     0.310     0.235     0.167     0.085     0.065
LT/SN/Km2   0.988     1.47      1.68      0.912     8.71     17.1       6.47      3.98      3.01      2.14      1.09      0.835
AKIM mm.    2.65      3.82      4.51      2.44     21.8      45.8      16.8      10.7       7.81      5.74      2.93      2.16
MİL. M3     0.206     0.298     0.352     0.191     1.70      3.57      1.31      0.832     0.609     0.448     0.228     0.169
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  9.91 MİLYON M3         127 MM.        4.0 LT/SN/Km2"
D14A141,481,"Maks.       1.29      1.37      0.032     0.022     0.065     0.014     0.022     0.065     0.022     3.60      0.007     0.009
Min.        0.009     0.014     0.014     0.009     0.007     KURU      0.007     0.007     0.007     KURU      KURU      0.003
Ortalama    0.677     0.235     0.016     0.014     0.012     0.007     0.010     0.028     0.011     0.310     0.006     0.007
LT/SN/Km2  32.2      11.2       0.753     0.644     0.558     0.355     0.486     1.34      0.522    14.7       0.263     0.330
AKIM mm.   86.3      29.1       2.02      1.72      1.40      0.950     1.26      3.58      1.35     39.5       0.704     0.856
MİL. M3     1.81      0.610     0.042     0.036     0.029     0.020     0.026     0.075     0.028     0.829     0.015     0.018
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  3.54 MİLYON M3         168 MM.        5.3 LT/SN/Km2"
D14A162,486,"Maks.       4.20      4.95      9.29     10.5      24.4      72.5      37.8      47.8      22.5       5.36      4.08      2.38
Min.        1.07      0.906     1.07      1.18      2.37      5.63     12.7       7.51      1.94      0.646     0.461     0.518
Ortalama    1.37      1.29      1.71      2.14      5.66     21.7      19.3      18.0       5.76      2.23      1.15      1.04
LT/SN/Km2   1.92      1.81      2.40      3.00      7.94     30.4      27.1      25.3       8.08      3.13      1.61      1.46
AKIM mm.    5.13      4.68      6.42      8.03     19.9      81.5      70.2      67.7      20.9       8.38      4.32      3.78
MİL. M3     3.66      3.34      4.57      5.73     14.2      58.1      50.0      48.2      14.9       5.97      3.08      2.70
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  214.45 MİLYON M3         301 MM.        9.5 LT/SN/Km2"
D14A172,489,"Maks.     194.      206.      215.      197.      197.      212.      210.      197.      201.      207.      210.      210.
Min.       11.3      11.2      11.0      11.0      11.2      11.3      11.5      11.3      11.5      11.0      11.0       9.20
Ortalama   62.8      58.9      49.2      36.0      51.3      60.9      34.6      47.5      58.2      51.5      48.2      52.5
LT/SN/Km2   5.88      5.50      4.60      3.37      4.80      5.70      3.23      4.44      5.44      4.81      4.50      4.91
AKIM mm.   15.7      14.3      12.3       9.03     12.0      15.3       8.38     11.9      14.1      12.9      12.1      12.7
MİL. M3   168.      153.      132.       96.5     129.      163.       89.6     127.      151.      138.      129.      136.
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  1612.10 MİLYON M3         151 MM.        4.8 LT/SN/Km2"
D14A176,491,"Maks.       3.83      2.67      2.51      2.82     19.8      11.6       6.81      8.67      8.04      6.40      8.04     10.9
Min.        2.67      1.94      1.94      2.51      2.23      2.67      2.37      2.23      2.08      2.51      2.37      2.23
Ortalama    3.24      2.17      2.43      2.72      3.64      5.98      3.85      3.25      3.41      3.28      3.22      3.57
LT/SN/Km2   0.856     0.573     0.642     0.719     0.962     1.58      1.02      0.859     0.900     0.867     0.851     0.943
AKIM mm.    2.29      1.48      1.72      1.93      2.41      4.23      2.64      2.30      2.33      2.32      2.28      2.44
MİL. M3     8.67      5.62      6.50      7.29      9.12     16.0       9.97      8.71      8.83      8.79      8.63      9.25
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  107.38 MİLYON M3         28 MM.        0.9 LT/SN/Km2"
D14A179,493,"Maks.     248.      211.      203.      205.      210.      200.      259.      184.      244.      244.      223.      264.
Min.       51.3      51.3      53.2      17.5      33.8      47.8      17.6      15.8       7.04      7.04     10.6       1.76
Ortalama  154.      139.      148.      132.      127.      145.      144.      105.      105.      127.      142.      118.
LT/SN/Km2   4.29      3.86      4.12      3.68      3.54      4.05      4.00      2.94      2.94      3.54      3.97      3.30
AKIM mm.   11.5      10.0      11.0       9.85      8.86     10.9      10.4       7.87      7.62      9.48     10.6       8.54
MİL. M3   412.      359.      396.      353.      318.      389.      372.      282.      273.      340.      381.      306.
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  4181.00 MİLYON M3         117 MM.        3.7 LT/SN/Km2"
D14A184,496,"Maks.       0.115     0.115     0.313     0.211     0.784     1.65      1.22      0.843     0.525     0.211     0.187     0.187
Min.        0.048     0.070     0.115     0.093     0.163     0.392     0.571     0.478     0.211     0.093     0.002     0.002
Ortalama    0.080     0.080     0.144     0.134     0.309     0.983     0.807     0.618     0.314     0.144     0.105     0.115
LT/SN/Km2   5.76      5.72     10.3       9.58     22.1      70.5      57.8      44.3      22.5      10.4       7.49      8.24
AKIM mm.   15.4      14.8      27.6      25.6      55.5     189.      150.      119.       58.4      27.7      20.1      21.4
MİL. M3     0.215     0.207     0.385     0.358     0.774     2.63      2.09      1.65      0.815     0.387     0.280     0.298
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  10.09 MİLYON M3         723 MM.        22.9 LT/SN/Km2"
D14A185,497,"Maks.       0.370     0.370     0.332     0.409     0.572     1.13      0.701     0.261     0.229     0.229     0.071     0.050
Min.        0.029     0.134     0.113     0.134     0.134     0.261     0.261     KURU      0.002     KURU      KURU      KURU
Ortalama    0.217     0.247     0.155     0.154     0.245     0.661     0.489     0.128     0.085     0.007     0.001     KURU
LT/SN/Km2   3.24      3.68      2.30      2.29      3.66      9.85      7.29      1.91      1.27      0.111     0.008     0.005
AKIM mm.    8.67      9.53      6.17      6.13      9.17     26.4      18.9       5.11      3.29      0.297     0.021     0.014
MİL. M3     0.582     0.640     0.414     0.411     0.615     1.77      1.27      0.343     0.221     0.020     0.001     0.001
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  6.29 MİLYON M3         94 MM.        3.0 LT/SN/Km2"
D14A186,498,"Maks.       0.015     KURU      KURU      KURU      0.058     0.004     0.004     0.020     0.020     0.020     0.020     0.020
Min.        KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU
Ortalama    KURU      KURU      KURU      KURU      0.005     KURU      0.001     0.001     0.001     0.001     0.001     0.001
LT/SN/Km2   KURU      KURU      KURU      KURU      0.479     KURU      0.048     0.046     0.071     0.081     0.046     0.045
AKIM mm.    KURU      KURU      KURU      KURU      1.20      KURU      0.123     0.123     0.185     0.216     0.123     0.116
MİL. M3     KURU      KURU      KURU      KURU      0.013     KURU      0.001     0.001     0.002     0.002     0.001     0.001
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  0.02 MİLYON M3         2 MM.        0.1 LT/SN/Km2"
D14A188,500,"Maks.      11.3       0.033     0.017     0.012     0.274    13.1      13.4      13.6      14.5       0.093     0.017     KURU
Min.        KURU      0.006     0.009     0.009     0.012     0.075     0.075     0.049     0.004     KURU      KURU      KURU
Ortalama    0.002     0.017     0.014     0.009     0.126     0.119     0.117     0.109     0.151     0.004     KURU      KURU
LT/SN/Km2   0.139     1.17      0.942     0.628     8.54      8.02      7.92      7.33     10.2       0.268     KURU      KURU
AKIM mm.    0.374     3.04      2.52      1.68     21.4      21.5      20.5      19.6      26.4       0.718     KURU      KURU
MİL. M3     0.006     0.045     0.037     0.025     0.317     0.318     0.304     0.291     0.390     0.011     KURU      KURU
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  1.74 MİLYON M3         118 MM.        3.7 LT/SN/Km2"
D14A200,511,"Maks.      11.2       0.963     1.67      0.718     6.31      4.53      3.05     19.6      21.8      23.7      21.4      54.9
Min.        0.537     KURU      KURU      KURU      0.531     2.16      1.17      1.22      2.39     19.6      14.3       4.10
Ortalama    3.17      0.452     0.191     0.023     1.97      3.27      1.85     11.4      14.8      22.5      17.5      14.5
LT/SN/Km2   1.14      0.163     0.069     0.008     0.708     1.18      0.666     4.09      5.34      8.09      6.31      5.22
AKIM mm.    3.05      0.422     0.184     0.022     1.78      3.15      1.73     11.0      13.8      21.7      16.9      13.5
MİL. M3     8.48      1.17      0.512     0.062     4.93      8.76      4.80     30.4      38.5      60.2      47.0      37.6
===============================================================================================================================
SU YILI  ( 2020 )  YILLIK TOPLAM AKIM  242.41 MİLYON M3         87 MM.        2.8 LT/SN/Km2"
