station_code,page,raw_table_text
D14A064,473,"Maks.       0.375     0.265     0.684     0.375     0.541     3.40      2.19      1.39      0.639     0.486     0.265     0.265
Min.        0.112     0.136     0.165     0.233     0.233     0.315     0.569     0.569     0.211     0.090     0.055     0.055
Ortalama    0.174     0.182     0.225     0.237     0.279     0.676     0.701     0.731     0.386     0.149     0.080     0.083
LT/SN/Km2   1.74      1.82      2.25      2.37      2.79      6.76      7.01      7.31      3.86      1.49      0.800     0.831
AKIM mm.    4.66      4.72      6.02      6.34      6.75     18.1      18.2      19.6      10.0       4.00      2.14      2.15
MİL. M3     0.466     0.472     0.602     0.634     0.675     1.81      1.82      1.96      1.00      0.400     0.214     0.215
===============================================================================================================================
SU YILI  ( 2011 )  YILLIK TOPLAM AKIM  10.27 MİLYON M3         103 MM.        3.3 LT/SN/Km2"
D14A081,475,"Maks.       KURU      KURU      KURU      0.270     0.132     1.31      0.420     2.40      0.916     0.100     0.040     0.556
Min.        KURU      KURU      KURU      0.040     0.070     0.070     0.100     0.132     0.040     0.009     0.002     KURU
Ortalama    0.019     0.016     0.123     0.066     0.085     0.205     0.167     0.315     0.130     0.048     0.019     0.008
LT/SN/Km2   1.94      1.57     12.4       6.62      8.59     20.7      16.9      31.8      13.2       4.82      1.93      0.815
AKIM mm.    5.20      4.07     33.2      17.7      20.8      55.4      43.8      85.1      34.1      12.9       5.18      2.11
MİL. M3     0.051     0.040     0.329     0.176     0.206     0.548     0.434     0.843     0.337     0.128     0.051     0.021
===============================================================================================================================
SU YILI  ( 2011 )  YILLIK TOPLAM AKIM  3.16 MİLYON M3         320 MM.        10.1 LT/SN/Km2"
D14A117,478,"Maks.       0.436     0.222     KURU      3.09      1.37      9.90      KURU      KURU      0.581     0.363     0.726     0.131
Min.        0.096     0.128     0.175     0.175     0.316     0.508     KURU      KURU      0.175     0.071     0.071     0.070
Ortalama    0.152     0.167     0.545     0.379     0.506     1.60      1.01      0.788     0.302     0.161     0.120     0.093
LT/SN/Km2   1.95      2.14      6.98      4.86      6.48     20.5      13.0      10.1       3.88      2.07      1.53      1.20
AKIM mm.    5.23      5.56     18.7      13.0      15.7      54.9      33.7      27.1      10.0       5.54      4.11      3.10
MİL. M3     0.408     0.433     1.46      1.01      1.22      4.28      2.63      2.11      0.784     0.432     0.320     0.242
===============================================================================================================================
SU YILI  ( 2011 )  YILLIK TOPLAM AKIM  15.33 MİLYON M3         197 MM.        6.2 LT/SN/Km2"
D14A162,492,"Maks.       9.19      4.77      7.07      4.01      6.80     97.4      63.9      85.5      31.8       8.13      4.36      3.66
Min.        0.002     0.089     0.089     0.308     0.375     2.77     15.2      16.7       7.33      2.21      1.81      1.43
Ortalama    0.801     0.649     1.23      0.963     2.04     14.8      29.9      29.1      13.5       4.92      2.36      2.14
LT/SN/Km2   1.12      0.910     1.72      1.35      2.86     20.7      41.9      40.8      18.9       6.90      3.31      3.01
AKIM mm.    3.01      2.36      4.61      3.62      6.93     55.5     109.      109.       49.1      18.5       8.86      7.79
MİL. M3     2.15      1.68      3.29      2.58      4.94     39.5      77.5      78.0      35.0      13.2       6.31      5.55
===============================================================================================================================
SU YILI  ( 2011 )  YILLIK TOPLAM AKIM  269.70 MİLYON M3         378 MM.        12.0 LT/SN/Km2"
D14A172,496,"Maks.       KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU
Min.        KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU
Ortalama    KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU
LT/SN/Km2   KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU
AKIM mm.    KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU
MİL. M3     KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU      KURU
===============================================================================================================================
SU YILI  ( 2011 )"
D14A176,499,"Maks.      42.9       4.96      9.81      4.44      4.97     65.2      48.3      57.3      37.0      15.9      16.2      17.5
Min.        4.65      2.97      2.72      2.82      2.68      3.24      6.65     10.3      10.8       8.10      6.04      5.84
Ortalama   10.2       3.70      4.40      3.47      3.31     10.4      10.8      38.0      19.1      10.0       8.94      8.21
LT/SN/Km2   2.69      0.979     1.16      0.917     0.876     2.74      2.87     10.0       5.06      2.65      2.36      2.17
AKIM mm.    7.21      2.54      3.12      2.46      2.12      7.35      7.43     26.9      13.1       7.11      6.33      5.63
MİL. M3    27.3       9.60     11.8       9.29      8.02     27.8      28.1     102.       49.6      26.9      24.0      21.3
===============================================================================================================================
SU YILI  ( 2011 )  YILLIK TOPLAM AKIM  345.71 MİLYON M3         91 MM.        2.9 LT/SN/Km2"
D14A179,502,"Maks.     273.      292.      264.      385.      351.      355.      331.      315.      425.      731.      309.      305.
Min.       34.0      29.2      30.0      31.0      32.0      34.0      40.0      38.0     127.       39.0      41.0       KURU
Ortalama  160.      149.      154.      175.      127.      244.      275.      269.      302.      208.      167.      127.
LT/SN/Km2   4.45      4.17      4.29      4.88      3.53      6.79      7.66      7.51      8.42      5.80      4.65      3.55
AKIM mm.   11.9      10.8      11.5      13.1       8.54     18.2      19.9      20.1      21.8      15.5      12.5       9.21
MİL. M3   428.      387.      412.      469.      306.      652.      712.      721.      782.      557.      447.      330.
===============================================================================================================================
SU YILI  ( 2011 )  YILLIK TOPLAM AKIM  6203.00 MİLYON M3         173 MM.        5.5 LT/SN/Km2"
D22A093,785,"Maks.      37.6      15.1       2.95      4.03     13.0      33.1      22.7      28.3      16.4      12.5      31.6      29.2
Min.        0.549     0.479     0.411     0.720     1.26      2.58      3.32      2.51      1.02      0.549     0.479     0.347
Ortalama    6.34      1.85      0.719     1.54      4.29      8.45      9.81      8.18      4.17      1.78      4.74      1.11
LT/SN/Km2  30.2       8.81      3.42      7.32     20.4      40.2      46.7      38.9      19.8       8.46     22.6       5.27
AKIM mm.   80.9      22.8       9.17     19.6      49.4     108.      121.      104.       51.4      22.7      60.5      13.7
MİL. M3    17.0       4.79      1.93      4.12     10.4      22.6      25.4      21.9      10.8       4.76     12.7       2.87
===============================================================================================================================
SU YILI  ( 2011 )  YILLIK TOPLAM AKIM  139.27 MİLYON M3         663 MM.        21.0 LT/SN/Km2"
D22A105,790,"Maks.      42.1       3.70     26.5      22.7      75.4      31.1      15.5       6.20     62.0      89.8      54.2      17.9
Min.        0.203     0.247     0.247     1.17      1.17      1.70      1.17      0.653     0.570     0.360     0.615     0.354
Ortalama    3.75      0.531     4.12      3.37      4.45      5.74      2.65      1.90      2.81      4.00      3.64      0.563
LT/SN/Km2  50.3       7.12     55.3      45.3      59.8      77.0      35.6      25.5      37.7      53.7      48.9       7.55
AKIM mm.  135.       18.5     148.      121.      145.      206.       92.4      68.4      97.8     144.      131.       19.6
MİL. M3    10.0       1.38     11.0       9.04     10.8      15.4       6.88      5.10      7.29     10.7       9.75      1.46
===============================================================================================================================
SU YILI  ( 2011 )  YILLIK TOPLAM AKIM  98.80 MİLYON M3         1326 MM.        42.1 LT/SN/Km2"
