station_code,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A011,505,0.34,2.53,0.495,2.11,3.44,0.216,0.216,5.43,12.1,13.9,12.6,0.495,0.273,0.037,0.022,0.216,0.216,0.12,0.084,0.084,0.417,2.67,0.495,0.12,0.273,0.246,0.169,0.297,0.279,0.169,0.155,0.7,1.6,10.3,5.72,0.291,1.88,1.69,1.16,2.05,1.92,1.16,1.07,4.82,11.1,71.1,39.4,2.0,5.04,4.39,3.11,5.49,4.65,3.12,2.76,12.9,28.7,191.0,106.0,5.2,0.731,0.637,0.452,0.796,0.675,0.452,0.401,1.87,4.16,27.6,15.3,0.754,53830000.0,371.0,11.8
D14A064,512,0.755,1.61,0.632,0.549,0.383,0.383,1.11,0.632,1.22,0.549,0.907,0.822,0.05,0.115,0.063,0.063,0.063,0.115,0.173,0.173,0.063,,,0.001,0.429,0.763,0.188,0.186,0.284,0.235,0.334,0.291,0.421,0.118,0.041,0.143,4.29,7.63,1.88,1.86,2.84,2.35,3.34,2.91,4.21,1.18,0.412,1.43,11.5,19.8,5.03,4.98,6.87,6.29,8.67,7.79,10.9,3.17,1.1,3.7,1.15,1.98,0.503,0.498,0.687,0.629,0.867,0.779,1.09,0.317,0.11,0.37,8980000.0,90.0,2.8
D14A081,514,0.044,0.07,0.098,0.17,0.31,0.62,1.54,1.38,2.33,0.132,0.025,0.132,0.005,0.005,0.012,0.025,0.044,0.012,0.044,0.07,0.07,0.012,0.005,0.005,0.027,0.016,0.018,0.058,0.078,0.085,0.163,0.152,0.142,0.092,0.01,0.015,2.72,1.64,1.78,5.9,7.83,8.58,16.5,15.3,14.4,9.32,0.981,1.49,7.29,4.26,4.77,15.8,18.9,23.0,42.8,41.1,37.2,25.0,2.63,3.86,0.072,0.042,0.047,0.156,0.187,0.227,0.424,0.407,0.368,0.247,0.026,0.038,2240000.0,226.0,7.2
D14A117,519,0.13,0.22,0.26,0.26,1.65,2.8,2.4,0.81,5.53,0.35,0.13,0.1,0.07,0.1,0.019,0.07,0.049,0.52,0.46,0.35,0.3,0.07,0.07,0.019,0.099,0.106,0.101,0.112,0.322,0.936,0.792,0.461,0.666,0.148,0.092,0.059,1.27,1.36,1.29,1.43,4.12,12.0,10.2,5.91,8.54,1.9,1.18,0.751,3.4,3.52,3.46,3.83,9.97,32.1,26.3,15.8,22.1,5.1,3.17,1.95,0.265,0.275,0.27,0.299,0.778,2.51,2.05,1.23,1.73,0.397,0.247,0.152,10200000.0,131.0,4.1
D14A141,525,0.014,0.007,0.007,0.045,0.007,0.014,0.065,0.094,0.065,0.007,0.009,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.005,0.001,0.007,0.003,0.006,0.005,0.005,0.005,0.005,0.006,0.012,0.027,0.034,0.004,0.007,0.004,0.293,0.241,0.238,0.25,0.238,0.306,0.568,1.3,1.63,0.174,0.339,0.194,0.786,0.625,0.638,0.671,0.576,0.819,1.47,3.48,4.24,0.465,0.909,0.502,0.017,0.013,0.013,0.014,0.012,0.017,0.031,0.073,0.089,0.01,0.019,0.011,320000.0,15.0,0.5
D14A162,530,4.43,4.43,7.6,7.93,8.9,14.4,33.3,31.4,12.3,8.23,6.22,5.63,1.18,0.988,0.988,0.988,0.906,2.55,5.09,5.36,1.64,0.716,0.575,0.322,1.96,1.73,1.66,1.79,1.84,5.68,14.2,9.79,5.53,2.34,1.3,0.695,2.75,2.43,2.33,2.51,2.58,7.98,19.9,13.7,7.76,3.29,1.83,0.975,7.37,6.31,6.24,6.73,6.25,21.4,51.7,36.8,20.1,8.8,4.9,2.53,5.25,4.49,4.45,4.79,4.45,15.2,36.8,26.2,14.3,6.27,3.49,1.8,127490000.0,179.0,5.7
D14A176,536,14.5,4.01,18.6,3.13,30.9,7.02,4.01,6.61,10.2,11.6,17.2,15.0,4.19,3.13,2.82,2.82,4.19,3.65,2.67,2.67,2.67,3.83,4.39,3.83,7.76,3.41,3.93,2.87,11.9,4.17,2.93,3.13,4.08,5.3,6.22,6.18,2.05,0.901,1.04,0.758,3.15,1.1,0.775,0.829,1.08,1.4,1.64,1.63,5.5,2.34,2.78,2.03,7.63,2.95,2.01,2.22,2.8,3.75,4.4,4.24,20.8,8.83,10.5,7.68,28.9,11.2,7.6,8.4,10.6,14.2,16.7,16.0,161410000.0,43.0,1.4
D14A179,538,214.0,257.0,472.0,331.0,329.0,149.0,78.6,92.9,180.0,214.0,193.0,204.0,3.95,33.0,35.0,26.7,2.82,12.1,31.7,3.81,35.3,22.6,69.0,64.9,105.0,109.0,200.0,172.0,115.0,58.4,39.4,38.9,63.9,107.0,126.0,126.0,2.93,3.03,5.57,4.8,3.21,1.63,1.1,1.09,1.78,2.98,3.51,3.52,7.85,7.85,14.9,12.9,7.76,4.36,2.85,2.91,4.62,7.99,9.4,9.14,281.0,282.0,535.0,461.0,278.0,156.0,102.0,104.0,166.0,287.0,337.0,328.0,3317000000.0,92.0,2.9
D14A184,542,0.141,0.242,0.531,0.188,0.188,1.97,1.43,1.09,0.843,0.392,0.139,0.115,,,0.064,0.036,0.014,0.242,0.724,0.571,0.353,0.115,0.093,0.093,0.079,0.098,0.163,0.076,0.052,0.848,1.01,0.781,0.467,0.197,0.094,0.094,4.15,5.11,8.55,4.0,2.74,44.4,52.9,40.9,24.5,10.3,4.94,4.91,11.1,13.2,22.9,10.7,6.64,119.0,137.0,110.0,63.4,27.6,13.2,12.7,0.213,0.253,0.437,0.205,0.127,2.27,2.62,2.09,1.21,0.527,0.253,0.243,10450000.0,547.0,17.3
D14A185,543,,,,0.229,0.447,0.892,1.08,0.988,0.892,0.092,0.05,0.071,,,,0.029,0.229,0.409,0.529,0.332,0.029,0.004,0.004,0.004,,,,0.11,0.272,0.543,0.724,0.454,0.277,0.009,0.004,0.005,,,,1.64,4.05,8.1,10.8,6.77,4.13,0.136,0.064,0.075,,,,4.39,9.79,21.7,28.0,18.1,10.7,0.363,0.173,0.194,,,,0.294,0.657,1.46,1.88,1.22,0.718,0.024,0.012,0.013,,,
D14A186,544,,,,,0.015,0.015,0.007,0.028,0.053,0.011,,,,,,,,,0.004,0.004,0.007,,,,,,,,0.002,0.005,0.007,0.009,0.013,0.002,,,,,,,0.15,0.42,0.618,0.779,1.16,0.173,,,,,,,0.362,1.12,1.6,2.09,3.0,0.462,,,,,,,0.004,0.013,0.018,0.023,0.034,0.005,,,100000.0,9.0,0.3
D14A188,546,0.009,0.009,0.012,0.017,0.017,0.041,0.112,0.211,0.093,0.012,0.006,0.002,0.001,0.002,0.002,0.004,0.004,0.006,0.012,0.017,0.006,,,,0.004,0.006,0.007,0.008,0.008,0.014,0.029,0.04,0.026,0.005,,,0.283,0.376,0.466,0.53,0.531,0.922,1.99,2.71,1.73,0.351,0.026,0.011,0.759,0.975,1.25,1.42,1.28,2.47,5.15,7.25,4.5,0.94,0.07,0.029,0.011,0.014,0.018,0.021,0.019,0.037,0.076,0.107,0.067,0.014,0.001,,380000.0,26.0,0.8
E14A002,557,228.0,226.0,270.0,235.0,244.0,253.0,178.0,199.0,239.0,180.0,133.0,186.0,15.4,15.0,18.6,16.8,19.0,43.0,32.5,19.5,15.9,12.2,19.5,19.0,93.1,52.7,126.0,81.2,105.0,81.6,71.5,55.2,90.2,58.1,67.6,67.8,2.75,1.56,3.72,2.39,3.09,2.41,2.11,1.63,2.66,1.72,1.99,2.0,7.36,4.03,9.97,6.41,7.47,6.44,5.47,4.36,6.89,4.59,5.34,5.18,249.0,137.0,338.0,217.0,253.0,218.0,185.0,148.0,234.0,156.0,181.0,176.0,2492000000.0,74.0,2.3
E14A027,562,7.23,5.07,96.9,83.4,90.6,3.98,41.0,41.0,4.34,4.89,3.98,63.7,3.27,1.7,1.79,1.79,2.61,1.36,1.89,1.5,2.88,2.61,3.01,3.01,4.46,2.91,30.1,5.11,7.09,2.17,3.18,7.94,3.57,3.46,3.52,6.39,0.521,0.339,3.52,0.596,0.828,0.253,0.371,0.927,0.416,0.404,0.411,0.745,1.39,0.879,9.42,1.6,2.0,0.678,0.962,2.48,1.08,1.08,1.1,1.93,12.0,7.53,80.7,13.7,17.2,5.81,8.25,21.3,9.25,9.28,9.44,16.6,211060000.0,25.0,0.8
E14A038,567,1.65,1.56,1.46,1.29,1.65,4.79,19.7,8.17,3.58,0.95,0.6,0.65,0.77,0.65,0.245,0.6,0.5,1.12,3.07,3.07,0.65,0.276,0.23,0.214,0.92,0.844,0.822,0.855,0.871,2.02,6.79,4.93,1.89,0.591,0.359,0.326,3.09,2.83,2.76,2.87,2.92,6.77,22.8,16.5,6.35,1.98,1.2,1.09,8.27,7.34,7.39,7.69,7.07,18.1,59.0,44.3,16.5,5.31,3.22,2.83,2.46,2.19,2.2,2.29,2.11,5.4,17.6,13.2,4.91,1.58,0.961,0.844,55740000.0,187.0,5.9
