station_code,catchment_area_km2,page
D14A011,145.1,505
D14A064,100.0,512
D14A081,9.9,514
D14A117,78.0,519
D14A141,21.0,525
D14A162,712.62,530
D14A176,3783.0,536
D14A179,35865.0,538
D14A184,19.1,542
D14A185,67.1,543
D14A186,11.22,544
D14A188,14.8,546
E14A002,33904.0,557
E14A027,8572.8,562
E14A038,298.0,567
E14A040,338.02,568
E14A018,1608.0,586
D22A093,210.0,901
D22A098,321.5,902
D22A105,74.5,904
D22A106,122.0,905
E22A053,770.7,935
E22A054,222.2,936
E22A062,740.0,938
E22A063,274.5,939
E22A065,386.4,940
E22A066,373.5,941
E22A071,226.0,945
