station_code,catchment_area_km2,page
D14A011,145.1,462
D14A064,100.0,469
D14A081,9.9,471
D14A117,78.0,475
D14A141,21.0,481
D14A162,712.62,486
D14A172,10693.0,489
D14A176,3783.0,491
D14A179,35865.0,493
D14A184,13.95,496
D14A185,67.1,497
D14A186,11.22,498
D14A188,14.8,500
D14A200,2777.74,511
D14A201,130.48,512
D14A207,18.45,516
D14A208,38.68,517
D14A211,61.43,520
D14A214,40.41,522
D14A215,47.85,523
E14A002,33904.0,527
E14A018,1608.0,530
E14A027,8572.8,533
E14A038,298.0,537
E14A040,338.02,538
D22A093,210.0,863
D22A098,321.5,866
D22A105,74.5,868
D22A106,122.0,869
D22A159,20.34,901
E22A053,770.7,908
E22A054,222.2,909
E22A062,740.0,911
E22A063,274.5,912
E22A065,386.4,913
E22A066,373.5,914
E22A071,226.0,918
