station_code,catchment_area_km2,page
D14A064,100.0,417
D14A081,9.9,419
D14A117,78.0,423
D14A141,21.0,433
D14A162,712.62,439
D22A093,210.0,687
D22A105,74.5,693
D22A106,122.0,694
D14A011,145.1,835
D22A098,266.7,853
