station_code,catchment_area_km2,page
D14A011,145.1,485
D14A064,100.0,492
D14A081,9.9,494
D14A117,78.0,499
D14A141,21.0,506
D14A162,712.62,513
D14A176,3783.0,521
D14A179,35865.0,523
D14A184,19.1,528
D14A185,67.1,529
E14A002,33904.0,531
E14A018,1608.0,533
E14A027,8572.8,536
E14A038,298.0,542
E14A040,338.02,543
D14A172,10693.0,559
D14A188,14.8,560
D22A093,210.0,911
D22A098,321.5,915
D22A105,74.5,917
D22A106,122.0,918
E22A053,770.7,960
E22A054,222.2,961
E22A062,740.0,962
E22A063,274.5,963
E22A065,386.4,966
E22A066,373.5,967
E22A071,226.0,972
