station_code,catchment_area_km2,page
D14A011,145.1,493
D14A064,100.0,500
D14A081,9.9,502
D14A117,78.0,505
D14A141,21.0,509
D14A162,712.62,513
D14A172,10693.0,515
D14A176,3783.0,518
D14A179,35865.0,520
D14A184,19.1,524
D14A185,67.1,525
D14A186,11.22,526
D14A188,14.8,528
D14A201,130.48,538
D14A207,18.45,540
D14A208,38.68,541
E14A002,33904.0,546
E14A018,1608.0,549
E14A027,8572.8,552
E14A038,298.0,557
E14A040,338.02,558
D14A200,2777.74,585
D14A214,40.41,585
D14A215,47.85,585
D22A093,210.0,903
D22A098,321.5,906
D22A105,74.5,908
D22A106,122.0,909
E22A053,770.7,937
E22A054,222.2,938
E22A062,740.0,940
E22A063,274.5,941
E22A065,386.4,942
E22A066,373.5,943
E22A071,226.0,947
