station_code,year,page,region,station_name,coordinates,latitude,longitude,distance_km,catchment_area_km2,annual_mm,annual_lt_sn_km2,annual_total_m3,avg_annual_flow_m3s,average_of_avg,average_for_max,average_for_min,average_ltsnkm2,average_mm,average_of_mil_m3,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,max_flow,min_flow,mean_flow,flow_variability_index,baseflow_index,oct_coefficient,nov_coefficient,dec_coefficient,jan_coefficient,feb_coefficient,mar_coefficient,apr_coefficient,may_coefficient,jun_coefficient,jul_coefficient,aug_coefficient,sep_coefficient,mean_monthly_mm,flow_concentration_index
D14A176,2010,485,14. Yesilirmak Havzasi,YEŞİLIRMAK N. OVAYURT,"36°11'55"" Doğu - 40°18'3"" Kuzey",40.301,36.199,116.868,3783.0,114.0,3.6,432300000.0,12.098,13.797,27.018,5.558,3.645,9.523,36.025,19.2,4.75,5.67,20.8,79.0,58.1,24.0,20.8,42.0,12.8,20.0,17.1,3.6,3.44,2.96,3.6,7.05,11.8,7.28,4.06,5.9,4.98,5.9,6.13,12.7,5.27,5.26,8.43,27.5,34.2,13.0,10.1,12.9,10.7,12.6,12.9,3.35,1.39,1.39,2.23,7.27,9.04,3.44,2.66,3.4,2.82,3.33,3.42,8.97,3.61,3.73,5.97,17.6,24.2,8.92,7.12,8.81,7.55,8.93,8.87,33.9,13.7,14.1,22.6,66.6,91.5,33.8,26.9,33.3,28.5,33.8,33.6,79.0,2.96,13.796666666666665,5.726020777965693,0.21454457598453736,0.0786842105263158,0.03166666666666666,0.03271929824561404,0.05236842105263158,0.1543859649122807,0.21228070175438596,0.07824561403508772,0.062456140350877196,0.07728070175438596,0.0662280701754386,0.07833333333333332,0.07780701754385964,9.523333333333333,0.9975498774938747
E22A053,2020,908,22. Dogu Karadeniz Havzasi,PAZARSUYU EMECAN,"38°10'32"" Doğu - 40°55'37"" Kuzey",40.927,38.176,64.216,770.7,532.0,16.8,410200000.0,15.993,12.981,60.408,6.356,16.844,44.325,34.183,29.2,89.2,33.8,35.5,94.4,58.1,34.3,69.2,18.9,24.7,228.0,9.6,4.13,3.74,3.93,5.33,10.2,13.8,9.89,9.29,4.71,4.71,3.27,3.27,8.05,8.38,7.53,9.2,22.3,29.1,19.3,25.5,8.33,6.59,7.17,4.32,10.4,10.9,9.77,11.9,29.0,37.8,25.0,33.1,10.8,8.55,9.3,5.61,28.0,28.2,26.2,32.0,72.6,101.0,64.9,88.7,28.0,22.9,24.9,14.5,21.6,21.7,20.2,24.6,56.0,78.1,50.0,68.3,21.6,17.7,19.2,11.2,228.0,3.27,12.980833333333335,17.56435770687552,0.2519098671117673,0.05263157894736842,0.05300751879699248,0.04924812030075188,0.06015037593984962,0.13646616541353382,0.18984962406015038,0.12199248120300753,0.16672932330827067,0.05263157894736842,0.043045112781954886,0.04680451127819549,0.02725563909774436,44.324999999999996,1.0001880052641474
E14A018,2018,549,14. Yesilirmak Havzasi,YEŞİLIRMAK N. GÖMELEÖNÜ,"37°7'43"" Doğu - 40°18'42"" Kuzey",40.312,37.129,55.657,1608.0,247.0,7.9,397830000.0,17.891,12.649,3.235,2.243,7.87,20.642,33.153,0.0,0.0,3.74,3.74,3.74,3.74,3.74,3.74,3.74,2.9,2.9,6.84,0.0,0.0,0.0,3.74,3.74,3.74,3.74,3.74,2.65,2.9,2.65,0.017,0.0,0.0,0.603,10.3,18.1,50.2,23.9,19.7,18.0,6.77,2.08,2.14,0.0,0.0,0.375,6.43,11.3,31.2,14.9,12.2,11.2,4.21,1.29,1.33,0.0,0.0,1.0,17.2,27.3,83.6,38.6,32.7,29.1,11.3,3.46,3.45,0.0,0.0,1.62,27.7,43.9,134.0,62.0,52.6,46.8,18.1,5.56,5.55,6.84,0.0,12.649416666666667,0.5407363975940919,0.0,0.0,0.0,0.004048582995951417,0.06963562753036437,0.11052631578947368,0.3384615384615384,0.1562753036437247,0.13238866396761134,0.11781376518218624,0.045748987854251015,0.014008097165991903,0.013967611336032389,20.6425,0.9971337451051634
E14A027,2019,524,14. Yesilirmak Havzasi,KELKİT ÇAYI YEMİŞLI KÖPRÜSÜ,"37°58'23"" Doğu - 40°14'13"" Kuzey",40.237,37.973,72.108,8572.8,45.0,1.4,387330000.0,39.887,12.294,36.259,5.872,1.434,3.758,32.278,24.3,57.7,70.0,81.0,5.61,5.07,5.25,60.6,27.6,3.98,17.4,76.6,1.43,2.38,2.74,1.99,2.09,1.89,2.88,2.09,1.7,2.09,2.19,47.0,10.1,20.3,16.3,17.2,3.16,3.6,3.62,4.46,3.6,3.41,4.78,57.0,1.18,2.37,1.9,2.0,0.368,0.42,0.422,0.521,0.42,0.398,0.557,6.65,3.15,6.14,5.1,5.37,0.891,1.13,1.09,1.39,1.09,1.06,1.49,17.2,27.0,52.7,43.7,46.0,7.64,9.64,9.38,12.0,9.34,9.13,12.8,148.0,81.0,1.43,12.294166666666664,6.588490476513253,0.11631532569646853,0.06999999999999999,0.13644444444444442,0.11333333333333333,0.11933333333333333,0.0198,0.02511111111111111,0.024222222222222225,0.030888888888888886,0.024222222222222225,0.023555555555555555,0.03311111111111111,0.3822222222222222,3.758416666666666,0.9977605818052817
D14A176,2015,537,14. Yesilirmak Havzasi,YEŞİLIRMAK N. OVAYURT,"36°11'55"" Doğu - 40°18'3"" Kuzey",40.301,36.199,116.868,3783.0,102.0,3.2,384100000.0,9.914,12.165,23.321,5.405,3.214,8.46,32.008,20.0,3.47,4.99,5.59,16.0,57.1,56.1,40.4,26.6,16.7,14.5,18.4,2.08,1.69,1.8,2.23,2.67,6.0,13.9,6.61,7.43,7.22,7.43,5.8,3.35,2.18,2.51,3.39,3.58,30.8,37.5,16.0,12.9,9.72,9.55,14.5,0.886,0.577,0.664,0.895,0.947,8.14,9.92,4.22,3.41,2.57,2.52,3.82,2.37,1.49,1.78,2.4,2.29,21.8,25.7,11.3,8.84,6.88,6.76,9.91,8.98,5.65,6.73,9.07,8.67,82.5,97.3,42.7,33.4,26.0,25.6,37.5,57.1,1.69,12.165000000000001,4.693793670365803,0.13892314015618576,0.02323529411764706,0.014607843137254902,0.017450980392156864,0.023529411764705882,0.02245098039215686,0.21372549019607845,0.2519607843137255,0.1107843137254902,0.08666666666666667,0.06745098039215686,0.06627450980392156,0.09715686274509804,8.459999999999999,1.004728132387707
E22A053,2018,937,22. Dogu Karadeniz Havzasi,PAZARSUYU EMECAN,"38°10'32"" Doğu - 40°55'37"" Kuzey",40.927,38.176,64.216,770.7,482.0,15.3,371700000.0,16.203,11.782,45.105,6.116,15.284,40.167,30.975,74.6,16.5,102.0,28.2,44.4,96.3,20.5,50.9,39.3,18.9,6.46,43.2,4.71,4.32,4.91,8.69,9.29,9.59,7.65,7.65,6.24,4.32,3.01,3.01,12.4,5.5,15.4,15.9,16.8,24.0,9.94,12.7,11.8,6.84,4.05,6.05,16.1,7.13,20.0,20.6,21.8,31.1,12.9,16.4,15.4,8.87,5.26,7.85,43.1,18.5,53.5,55.3,52.8,83.4,33.4,44.0,39.8,23.8,14.1,20.3,33.2,14.3,41.3,42.6,40.7,64.3,25.8,33.9,30.7,18.3,10.9,15.7,102.0,3.01,11.781666666666668,8.657518743811005,0.25548168057716786,0.08941908713692946,0.038381742738589214,0.11099585062240663,0.11473029045643153,0.10954356846473029,0.17302904564315355,0.06929460580912863,0.0912863070539419,0.08257261410788382,0.04937759336099585,0.02925311203319502,0.04211618257261411,40.16666666666667,0.9999999999999999
D14A176,2016,536,14. Yesilirmak Havzasi,YEŞİLIRMAK N. OVAYURT,"36°11'55"" Doğu - 40°18'3"" Kuzey",40.301,36.199,116.868,3783.0,98.0,3.1,372300000.0,10.121,11.782,23.815,5.547,3.113,8.197,31.025,28.4,22.7,20.0,8.88,16.7,28.1,27.4,36.1,42.6,15.0,12.0,27.9,5.19,3.47,2.51,2.51,2.23,8.25,6.4,3.29,7.43,5.8,9.74,9.74,15.6,13.6,5.24,4.89,7.25,14.7,13.5,14.5,15.6,10.4,11.0,15.1,4.13,3.58,1.38,1.29,1.92,3.88,3.57,3.85,4.12,2.74,2.91,3.99,11.0,9.29,3.71,3.46,4.8,10.4,9.26,10.3,10.7,7.34,7.8,10.3,41.8,35.1,14.0,13.1,18.2,39.3,35.0,39.0,40.4,27.8,29.5,39.1,42.6,2.23,11.781666666666666,3.615787240062244,0.1892771254774367,0.11224489795918367,0.09479591836734692,0.03785714285714286,0.03530612244897959,0.04897959183673469,0.10612244897959185,0.09448979591836734,0.10510204081632654,0.10918367346938775,0.07489795918367347,0.07959183673469387,0.10510204081632654,8.196666666666667,0.9963399755998372
E22A053,2013,890,22. Dogu Karadeniz Havzasi,PAZARSUYU EMECAN,"38°10'32"" Doğu - 40°55'37"" Kuzey",40.927,38.176,64.216,770.7,458.0,14.5,353300000.0,16.344,11.217,40.178,6.772,14.554,38.208,29.442,18.1,152.0,33.3,39.9,14.5,51.6,33.8,50.2,40.6,9.63,14.2,24.3,4.32,4.71,7.94,8.5,9.35,11.7,10.8,9.07,5.78,3.35,2.73,3.01,5.75,20.4,11.0,16.0,11.3,20.0,16.2,13.3,6.96,4.52,3.4,5.77,7.46,26.4,14.3,20.8,14.7,26.0,21.0,17.2,9.03,5.86,4.41,7.49,20.0,68.5,38.2,55.7,35.5,69.7,54.5,46.1,23.4,15.7,11.8,19.4,15.4,52.8,29.5,42.9,27.3,53.7,42.0,35.5,18.0,12.1,9.1,15.0,152.0,2.73,11.216666666666667,13.551263001485884,0.24338781575037147,0.043668122270742356,0.14956331877729256,0.08340611353711791,0.12161572052401748,0.07751091703056769,0.15218340611353712,0.11899563318777293,0.10065502183406114,0.05109170305676856,0.034279475982532746,0.025764192139737994,0.042358078602620086,38.208333333333336,0.9989094874591058
E22A063,2016,932,22. Dogu Karadeniz Havzasi,TURNASUYU KAPÇULLU,"38°0'7"" Doğu - 40°57'19"" Kuzey",40.955,38.002,51.832,274.5,1285.0,40.7,352820000.0,7.384,11.209,58.158,2.183,40.824,107.033,29.402,51.2,56.2,15.3,57.4,59.8,38.6,29.0,151.0,35.7,122.0,7.4,74.3,0.574,1.06,1.35,2.79,7.76,4.44,2.08,1.5,1.06,1.21,0.874,1.5,8.36,12.2,6.1,16.0,23.8,15.4,9.73,15.6,6.83,10.5,1.73,8.26,30.5,44.5,22.2,58.2,86.8,56.1,35.4,56.7,24.9,38.2,6.29,30.1,81.6,115.0,59.6,156.0,217.0,150.0,91.9,152.0,64.5,102.0,16.8,78.0,22.4,31.7,16.3,42.8,59.7,41.2,25.2,41.7,17.7,28.1,4.62,21.4,151.0,0.574,11.209166666666667,13.471117389041707,0.051208088617946616,0.06350194552529183,0.08949416342412451,0.04638132295719845,0.12140077821011673,0.1688715953307393,0.11673151750972763,0.07151750972762647,0.11828793774319066,0.05019455252918288,0.07937743190661478,0.013073929961089494,0.060700389105058365,107.03333333333332,1.0004671441918407
D14A176,2011,499,14. Yesilirmak Havzasi,YEŞİLIRMAK N. OVAYURT,"36°11'55"" Doğu - 40°18'3"" Kuzey",40.301,36.199,116.868,3783.0,91.0,2.9,345710000.0,11.811,10.878,27.04,5.568,2.873,7.608,28.809,42.9,4.96,9.81,4.44,4.97,65.2,48.3,57.3,37.0,15.9,16.2,17.5,4.65,2.97,2.72,2.82,2.68,3.24,6.65,10.3,10.8,8.1,6.04,5.84,10.2,3.7,4.4,3.47,3.31,10.4,10.8,38.0,19.1,10.0,8.94,8.21,2.69,0.979,1.16,0.917,0.876,2.74,2.87,10.0,5.06,2.65,2.36,2.17,7.21,2.54,3.12,2.46,2.12,7.35,7.43,26.9,13.1,7.11,6.33,5.63,27.3,9.6,11.8,9.29,8.02,27.8,28.1,102.0,49.6,26.9,24.0,21.3,65.2,2.68,10.8775,5.994024362215583,0.24638014249597795,0.07923076923076923,0.02791208791208791,0.03428571428571429,0.027032967032967033,0.0232967032967033,0.08076923076923076,0.08164835164835164,0.2956043956043956,0.14395604395604394,0.07813186813186813,0.06956043956043956,0.061868131868131865,7.608333333333333,0.9967141292442497
