file_name,page,region,station_code,station_name,coordinates,latitude,longitude,distance_km
dsi_2020.pdf,911,22. Dogu Karadeniz Havzasi,E22A062,MERT IRMAĞI ÇORAK,"36°16'48"" Doğu - 41°14'29"" Kuzey",41.24138888888889,36.28,112.39710889084408
dsi_2020.pdf,538,14. Yesilirmak Havzasi,E14A040,DELİ ÇAY DERBENTÇİ,"36°9'36"" Doğu - 40°28'48"" Kuzey",40.48,36.16,112.86948300228048
dsi_2020.pdf,523,14. Yesilirmak Havzasi,D14A215,GÜMBECİK D. BEDİRKALE BARAJI-ORTAÖREN,"36°29'0"" Doğu - 40°1'25"" Kuzey",40.02361111111111,36.48333333333333,114.88005089037873
dsi_2020.pdf,491,14. Yesilirmak Havzasi,D14A176,YEŞİLIRMAK N. OVAYURT,"36°11'55"" Doğu - 40°18'3"" Kuzey",40.30083333333333,36.19861111111111,116.86841673744536
dsi_2020.pdf,462,14. Yesilirmak Havzasi,D14A011,LADİK G. REG. ÇIKIŞI,"36°1'14"" Doğu - 40°55'13"" Kuzey",40.92027777777778,36.02055555555555,121.71569411274038
dsi_2020.pdf,500,14. Yesilirmak Havzasi,D14A188,KOYUN D. SARAYCIK,"35°57'18"" Doğu - 40°37'39"" Kuzey",40.6275,35.955000000000005,126.724448799761
dsi_2020.pdf,471,14. Yesilirmak Havzasi,D14A081,DEREÇAM D. GÜVEN BARAJI GİRİŞİ,"35°58'1"" Doğu - 41°4'33"" Kuzey",41.075833333333335,35.966944444444444,129.7755006114315
dsi_2020.pdf,882,22. Dogu Karadeniz Havzasi,D22A136,ÇÖMLEKCİ D. HAYDARLI,"38°57'58"" Doğu - 41°1'20"" Kuzey",41.02222222222222,38.96611111111111,131.07145427713664
dsi_2020.pdf,855,22. Dogu Karadeniz Havzasi,D22A058,GÖRELE D. CÜCEN KÖPRÜSÜ,"39°0'41"" Doğu - 40°53'10"" Kuzey",40.88611111111111,39.01138888888889,132.32151468396427
dsi_2020.pdf,501,14. Yesilirmak Havzasi,D14A189,EĞREĞİN D. SARAYCIK,"35°50'15"" Doğu - 40°40'15"" Kuzey",40.67083333333333,35.837500000000006,136.1435670556055
dsi_2020.pdf,536,14. Yesilirmak Havzasi,E14A034,TERSAKAN Ç. GÖLLÜBAĞLAR,"35°50'11"" Doğu - 40°40'24"" Kuzey",40.67333333333333,35.83638888888889,136.21707871041804
dsi_2020.pdf,532,14. Yesilirmak Havzasi,E14A024,ÇEKEREK Ç. ÇIRDAK KÖPRÜSÜ,"36°8'47"" Doğu - 40°0'29"" Kuzey",40.00805555555556,36.146388888888886,137.7192394215118
dsi_2020.pdf,505,14. Yesilirmak Havzasi,D14A194,BORUCAN D. ÇUKURÖREN GÖLETİ,"35°48'45"" Doğu - 40°48'10"" Kuzey",40.80277777777778,35.8125,137.96845011337209
dsi_2020.pdf,534,14. Yesilirmak Havzasi,E14A030,KÖROĞLU D. KÖROĞLU,"38°42'28"" Doğu - 39°57'17"" Kuzey",39.95472222222222,38.70777777777778,138.43828795932745
dsi_2020.pdf,479,14. Yesilirmak Havzasi,D14A133,KANLI D. PAMUKLU,"35°48'18"" Doğu - 40°46'10"" Kuzey",40.769444444444446,35.805,138.52305181709332
dsi_2020.pdf,476,14. Yesilirmak Havzasi,D14A126,CEVİZLİK D. ERENKAYA,"39°6'28"" Doğu - 40°13'56"" Kuzey",40.23222222222223,39.10777777777778,151.53991169587704
dsi_2020.pdf,503,14. Yesilirmak Havzasi,D14A191,GERMUGA D. AKKOCA,"36°3'19"" Doğu - 39°53'42"" Kuzey",39.895,36.055277777777775,151.5975590737989
dsi_2020.pdf,477,14. Yesilirmak Havzasi,D14A127,ULUŞİRAN D. ERENKAYA,"39°6'28"" Doğu - 40°13'47"" Kuzey",40.22972222222222,39.10777777777778,151.6478982903155
dsi_2020.pdf,507,14. Yesilirmak Havzasi,D14A196,TERSAKAN Ç. PAŞAPINARI,"35°38'53"" Doğu - 40°55'33"" Kuzey",40.92583333333333,35.64805555555556,152.816791229564
dsi_2020.pdf,495,14. Yesilirmak Havzasi,D14A183,DEĞİRMENÖZÜ D. KARATUZLA,"35°41'18"" Doğu - 40°20'40"" Kuzey",40.34444444444445,35.68833333333333,155.44601247447383
dsi_2020.pdf,910,22. Dogu Karadeniz Havzasi,E22A055,ÇİT DERESİ TORUL,"39°17'32"" Doğu - 40°32'31"" Kuzey",40.54194444444444,39.29222222222222,157.16230931698698
dsi_2020.pdf,883,22. Dogu Karadeniz Havzasi,D22A138,KOTİL Ç. DİBEKLİ,"39°22'4"" Doğu - 40°30'4"" Kuzey",40.50111111111111,39.367777777777775,164.2196247931163
dsi_2020.pdf,889,22. Dogu Karadeniz Havzasi,D22A148,MAÇKA D. YAYLABAŞI,"39°27'40"" Doğu - 40°46'52"" Kuzey",40.78111111111111,39.46111111111112,169.45255433229136
dsi_2020.pdf,1000,22. Dogu Karadeniz Havzasi,D22A130,POŞUT D. POŞUTTEPE,"39°25'58"" Doğu - 41°1'55"" Kuzey",41.03194444444444,39.43277777777777,169.65954185247344
dsi_2020.pdf,859,22. Dogu Karadeniz Havzasi,D22A084,KORUM D. YAĞLIDERE,"39°27'59"" Doğu - 40°33'47"" Kuzey",40.56305555555555,39.46638888888889,171.3857890628247
dsi_2020.pdf,531,14. Yesilirmak Havzasi,E14A022,KELKİT Ç. ÇİÇEKBÜKÜ,"39°18'42"" Doğu - 40°6'55"" Kuzey",40.11527777777778,39.31166666666666,172.6351913069503
dsi_2020.pdf,897,22. Dogu Karadeniz Havzasi,D22A154,SÖĞÜTLÜ D. ŞİNIK,"39°30'9"" Doğu - 40°57'4"" Kuzey",40.95111111111111,39.5025,174.13774115107174
dsi_2020.pdf,528,14. Yesilirmak Havzasi,E14A012,ÇORUM ÇAT IRMAĞI ŞEYHOĞLU KÖPRÜSÜ,"35°25'3"" Doğu - 40°27'6"" Kuzey",40.45166666666667,35.4175,174.69983020041363
dsi_2020.pdf,510,14. Yesilirmak Havzasi,D14A199,ÇEKEREK Ç. DAMLAÇİMENİ,"35°25'35"" Doğu - 40°20'32"" Kuzey",40.34222222222223,35.42638888888889,176.81322950660862
dsi_2020.pdf,487,14. Yesilirmak Havzasi,D14A166,BALAHOR D. KELKİT,"39°26'52"" Doğu - 40°7'15"" Kuzey",40.12083333333334,39.44777777777777,182.9692672501242
dsi_2020.pdf,466,14. Yesilirmak Havzasi,D14A048,SALHAN SUYU TANRIVERMİŞ,"35°15'4"" Doğu - 40°38'36"" Kuzey",40.64333333333333,35.25111111111111,185.6989202307068
dsi_2020.pdf,467,14. Yesilirmak Havzasi,D14A050,DÖVENCİ DERESİ FİDANLIK,"35°14'36"" Doğu - 40°42'27"" Kuzey",40.7075,35.24333333333333,185.95117596985392
dsi_2020.pdf,898,22. Dogu Karadeniz Havzasi,D22A156,HARŞİT Ç. YENİYOL,"39°37'40"" Doğu - 40°24'7"" Kuzey",40.401944444444446,39.62777777777778,187.97018739733983
dsi_2020.pdf,861,22. Dogu Karadeniz Havzasi,D22A086,DEĞİRMEN D. ÖĞÜTLÜ,"39°40'44"" Doğu - 40°51'55"" Kuzey",40.86527777777778,39.678888888888885,188.0815622152858
dsi_2020.pdf,872,22. Dogu Karadeniz Havzasi,D22A113,KUŞTUL D. MEYVECİK,"39°42'42"" Doğu - 40°50'30"" Kuzey",40.84166666666667,39.711666666666666,190.7072570471348
dsi_2020.pdf,474,14. Yesilirmak Havzasi,D14A109,SADAK D. ÇAKIRLAR,"39°34'43"" Doğu - 40°4'47"" Kuzey",40.07972222222222,39.57861111111112,194.9985885419306
dsi_2020.pdf,864,22. Dogu Karadeniz Havzasi,D22A095,YAYLA D. SÖĞÜTAĞIL,"39°46'59"" Doğu - 40°27'16"" Kuzey",40.45444444444445,39.78305555555556,199.7076119153685
dsi_2020.pdf,465,14. Yesilirmak Havzasi,D14A033,KOŞMASAT D. ÖZBEYLİ,"39°42'39"" Doğu - 40°11'27"" Kuzey",40.19083333333333,39.71083333333333,201.0944892224863
dsi_2020.pdf,853,22. Dogu Karadeniz Havzasi,D22A044,KARADERE AYTAŞ,"39°54'0"" Doğu - 40°41'15"" Kuzey",40.6875,39.9,206.6316019615431
dsi_2020.pdf,904,22. Dogu Karadeniz Havzasi,E22A002,KARA DERE AĞNAS,"40°0'25"" Doğu - 40°50'58"" Kuzey",40.84944444444445,40.00694444444444,215.55969456155617
dsi_2020.pdf,480,14. Yesilirmak Havzasi,D14A135,ALACA Ç. DEREYAZICI,"34°57'42"" Doğu - 40°14'37"" Kuzey",40.24361111111112,34.961666666666666,217.7247709174442
dsi_2020.pdf,917,22. Dogu Karadeniz Havzasi,E22A070,KÜÇÜKDERE Ç. ÇİMENLİ,"40°4'14"" Doğu - 40°51'1"" Kuzey",40.85027777777778,40.07055555555556,220.90986430475
dsi_2020.pdf,852,22. Dogu Karadeniz Havzasi,D22A007,HALDİZEN S. ŞERAH,"40°17'23"" Doğu - 40°37'28"" Kuzey",40.62444444444444,40.28972222222222,239.8723718184265
dsi_2020.pdf,472,14. Yesilirmak Havzasi,D14A104,AHİİLYAS DERESİ EVCİYENİKIŞLA,"34°37'6"" Doğu - 40°22'20"" Kuzey",40.37222222222222,34.61833333333333,242.7911516331608
dsi_2020.pdf,858,22. Dogu Karadeniz Havzasi,D22A082,SALARHA D. KÖMÜRCÜLER,"40°32'34"" Doğu - 40°55'40"" Kuzey",40.92777777777778,40.54277777777778,260.9729913545589
dsi_2020.pdf,906,22. Dogu Karadeniz Havzasi,E22A033,TOZKÖY DERESİ TOZKÖY,"40°34'44"" Doğu - 40°39'57"" Kuzey",40.66583333333333,40.57888888888889,263.9312631885069
dsi_2020.pdf,905,22. Dogu Karadeniz Havzasi,E22A015,ÇAMLIK DERE DEREKÖY,"40°35'52"" Doğu - 40°43'44"" Kuzey",40.72888888888889,40.59777777777778,265.2455801561276
dsi_2020.pdf,879,22. Dogu Karadeniz Havzasi,D22A132,BEYAZSU BEYAZSU ADALAR,"40°43'10"" Doğu - 41°3'46"" Kuzey",41.062777777777775,40.71944444444445,277.0007521708398
dsi_2020.pdf,878,22. Dogu Karadeniz Havzasi,D22A131,ŞAİRLER D. ÇAYELİ,"40°43'34"" Doğu - 41°4'55"" Kuzey",41.081944444444446,40.72611111111112,277.7929033697951
dsi_2020.pdf,860,22. Dogu Karadeniz Havzasi,D22A085,ŞENÖZ D. KAPTANPAŞA,"40°46'48"" Doğu - 40°57'35"" Kuzey",40.95972222222223,40.78,281.07864730214914
dsi_2020.pdf,870,22. Dogu Karadeniz Havzasi,D22A108,HEMŞİN D. BAŞKÖY,"40°53'22"" Doğu - 41°4'55"" Kuzey",41.081944444444446,40.88944444444444,291.39798946303097
dsi_2020.pdf,915,22. Dogu Karadeniz Havzasi,E22A067,SÜTLÜCE HODİGOR ÇAYI,"41°0'33"" Doğu - 41°2'22"" Kuzey",41.03944444444444,41.009166666666665,300.9285549221565
dsi_2020.pdf,851,22. Dogu Karadeniz Havzasi,D22A006,ABUÇAĞLAYAN D. KÖPRÜBAŞI,"41°15'3"" Doğu - 41°15'0"" Kuzey",41.25,41.25083333333333,323.817466624211
dsi_2020.pdf,854,22. Dogu Karadeniz Havzasi,D22A049,KAPİSTRE D. BAŞKÖY,"41°20'49"" Doğu - 41°18'28"" Kuzey",41.30777777777777,41.346944444444446,332.7615066447193
dsi_2020.pdf,862,22. Dogu Karadeniz Havzasi,D22A089,BALLI D. KÜÇÜKKÖY,"41°21'50"" Doğu - 41°15'52"" Kuzey",41.26444444444444,41.36388888888889,333.4019807002736
dsi_2020.pdf,857,22. Dogu Karadeniz Havzasi,D22A079,KAPİSTRE D. ÇAMLICA,"41°23'7"" Doğu - 41°16'36"" Kuzey",41.27666666666666,41.38527777777778,335.3745258110726
dsi_2020.pdf,1001,22. Dogu Karadeniz Havzasi,E22A047,MELET Ç. GOCALLI KÖPRÜSÜ,"41°56'46"" Doğu - 40°29'52"" Kuzey",40.49777777777778,41.94611111111111,380.4898138833341
