station_code,year,avg_annual_flow_m3s
D14A185,2018,0.146
D14A185,2014,0.124
D14A081,2013,0.077
D14A081,2016,0.076
D14A081,2011,0.076
D14A081,2017,0.076
D14A081,2015,0.076
D14A081,2006,0.076
D14A081,2005,0.076
D14A081,2012,0.076
D14A081,2019,0.076
D14A081,2020,0.075
D14A081,2014,0.075
D14A081,2007,0.075
D14A081,2009,0.075
D14A081,2018,0.075
D14A081,2008,0.074
D14A141,2013,0.05
D14A141,2020,0.047
D14A141,2014,0.045
D14A141,2019,0.043
D14A141,2015,0.043
D14A188,2016,0.042
D14A141,2016,0.042
D14A141,2017,0.04
D14A141,2018,0.038
D14A188,2020,0.037
D14A188,2015,0.035
D14A141,2009,0.034
D14A188,2018,0.034
D14A188,2019,0.033
D14A188,2017,0.032
D14A141,2008,0.027
D14A141,2005,0.026
D14A186,2017,0.003
D14A186,2018,0.002
D14A186,2020,0.002
D14A186,2019,0.002
D14A179,2009,0.0
D14A172,2009,0.0
