station_code,page,raw_table_text
D14A064,487,"Maks.       0.240    0.240    0.610    0.390    0.670    0.495    0.495    0.610    0.610    0.165    0.100   13.7
Min.        0.165    0.165    0.240    0.200    0.165    0.390    0.440    0.290    0.055    0.024    0.014    0.014
Ortalama    0.212    0.192    0.277    0.266    0.373    0.427    0.482    0.446    0.161    0.062    0.039    0.707
LT/SN/Km2   2.12     1.92     2.77     2.66     3.73     4.27     4.82     4.46     1.61     0.619    0.392    7.07
AKIM mm.    5.67     4.99     7.42     7.12     9.02    11.4     12.5     11.9      4.18     1.66     1.05    18.3
MİL. M3     0.567    0.499    0.742    0.712    0.902    1.14     1.25     1.19     0.418    0.166    0.105    1.83
=======================================================================================================================
="
D14A081,489,"Maks.       0.012    0.360    0.044    0.044    0.760    0.760    0.360    1.38     0.132    0.012    0.012    0.012
Min.        0.012    0.012    0.005    0.005    0.012    0.132    0.070    0.070    0.005    0.001    0.001    0.012
Ortalama    0.012    0.038    0.024    0.022    0.207    0.203    0.124    0.115    0.028    0.003    0.005    0.012
LT/SN/Km2   1.21     3.80     2.46     2.25    20.9     20.5     12.6     11.6      2.82     0.297    0.528    1.21
AKIM mm.    3.25     9.84     6.58     6.02    50.6     54.9     32.5     31.0      7.32     0.794    1.41     3.14
MİL. M3     0.032    0.097    0.065    0.060    0.501    0.543    0.322    0.307    0.072    0.008    0.014    0.031
=======================================================================================================================
="
D14A117,493,"Maks.       0.265    0.450    0.220    0.770    7.96     3.00     7.38     6.20     0.450    0.170    0.100    0.100
Min.        0.070    0.100    0.130    0.130    0.220    0.990    0.520    0.520    0.130    0.070    0.049    0.049
Ortalama    0.112    0.136    0.139    0.261    1.32     1.72     1.35     0.962    0.220    0.109    0.076    0.072
LT/SN/Km2   1.43     1.74     1.79     3.35    16.9     22.0     17.3     12.3      2.82     1.40     0.979    0.918
AKIM mm.    3.83     4.51     4.79     8.97    40.9     59.1     44.9     33.1      7.31     3.76     2.62     2.38
MİL. M3     0.299    0.352    0.373    0.700    3.19     4.61     3.51     2.58     0.570    0.293    0.205    0.186
=======================================================================================================================
="
D14A162,509,"Maks.       7.24     3.74     8.18     3.42    11.6    132.      89.0    102.      21.0      5.65     2.17     3.46
Min.        1.30     2.02     2.02     2.02     2.02    11.0     27.0     19.0      5.03     1.80     0.840    1.32
Ortalama    2.17     2.73     3.03     2.63     5.72    39.9     44.8     38.7     10.4      3.35     1.41     2.23
LT/SN/Km2   3.04     3.83     4.26     3.69     8.03    55.9     62.9     54.2     14.5      4.71     1.98     3.13
AKIM mm.    8.14     9.92    11.4      9.90    19.4    150.     163.     145.      37.7     12.6      5.31     8.13
MİL. M3     5.80     7.07     8.12     7.05    13.8    107.     116.     104.      26.9      8.98     3.79     5.79
=======================================================================================================================
="
D22A093,808,"Maks.      45.0     37.0      5.54    11.8     19.0     55.7     34.6     40.2      5.26    84.0      1.46     8.10
Min.        1.00     2.22     1.25     1.46     1.68     6.10     2.88     1.25     0.720    0.930    0.490    0.490
Ortalama   10.5      7.87     2.20     3.47     6.25    11.7      9.11     8.22     1.07     4.98     0.687    1.39
LT/SN/Km2  50.1     37.5     10.5     16.5     29.7     55.6     43.4     39.2      5.09    23.7      3.27     6.63
AKIM mm.  134.      97.2     28.0     44.2     72.0    149.     112.     105.      13.2     63.5      8.76    17.2
MİL. M3    28.2     20.4      5.88     9.29    15.1     31.3     23.6     22.0      2.77    13.3      1.84     3.61
========================================================================================================================
SU YILI  ( 2006 )  YILLIK TOPLAM AKIM  177.29 MİLYON M3         844 MM.        26.8 LT/SN/Km2"
D22A105,813,"Maks.      28.5     33.1      4.05    11.1     18.7     15.2     22.0      7.52   170.     110.      35.0      8.62
Min.        0.220    0.220    0.420    1.00     1.14     1.00     0.540    0.375    0.110    0.540    0.090    0.600
Ortalama    2.05     3.84     1.17     2.34     5.97     3.37     2.43     1.61     6.46    11.2      2.67     1.50
LT/SN/Km2  27.5     51.6     15.8     31.4     80.2     45.3     32.6     21.6     86.7    150.      35.9     20.2
AKIM mm.   73.6    134.      42.2     84.2    194.     121.      84.6     57.9    225.     403.      96.1     52.3
MİL. M3     5.49     9.96     3.15     6.27    14.4      9.04     6.30     4.31    16.7     30.0      7.16     3.89
========================================================================================================================
SU YILI  ( 2006 )  YILLIK TOPLAM AKIM  116.67 MİLYON M3         1566 MM.        49.7 LT/SN/Km2"
D22A106,814,"Maks.      39.7     18.6      5.40     7.80    17.9     16.5     29.8     20.0      1.50   107.       1.50     1.70
Min.        1.30     1.40     1.20     1.03     1.14     1.86     1.60     1.03     0.842    0.774    0.842    0.638
Ortalama    6.92     5.75     1.82     1.92     3.65     4.43     4.18     3.58     0.945    3.79     0.983    0.946
LT/SN/Km2  56.8     47.1     14.9     15.7     29.9     36.3     34.2     29.4      7.75    31.0      8.05     7.76
AKIM mm.  152.     122.      39.9     42.1     72.4     97.2     88.7     78.6     20.1     83.1     21.6     20.1
MİL. M3    18.5     14.9      4.86     5.14     8.83    11.9     10.8      9.59     2.45    10.1      2.63     2.45
========================================================================================================================
SU YILI  ( 2006 )  YILLIK TOPLAM AKIM  102.15 MİLYON M3         837 MM.        26.6 LT/SN/Km2"
