station_code,page,raw_table_text
D14A064,417,"Maks.       0.165    0.340    0.340    1.24     0.740    6.00     2.01     3.20     1.32     0.290    0.152    0.330
Min.        0.014    0.130    0.100    0.290    0.100    0.740    0.440    0.880    0.185    0.049    0.049    0.049
Ortalama    0.105    0.186    0.251    0.322    0.393    1.17     0.674    1.13     0.585    0.108    0.083    0.131
LT/SN/Km2   1.05     1.86     2.51     3.22     3.93    11.7      6.74    11.3      5.85     1.08     0.830    1.31
AKIM mm.    2.80     4.83     6.73     8.63     9.50    31.3     17.5     30.3     15.2      2.90     2.22     3.39
MİL. M3     0.280    0.483    0.673    0.863    0.950    3.13     1.75     3.03     1.52     0.290    0.222    0.339
========================================================================================================================
SU YILI  ( 2005 )  YILLIK TOPLAM AKIM  13.53 MİLYON M3         135 MM.        4.3 LT/SN/Km2"
D14A081,419,"Maks.       0.005    0.215    0.132    0.044    0.170    2.00     1.54     0.930    0.420    6.90     0.025    1.62
Min.        0.005    0.005    0.012    0.005    0.001    0.044    0.070    0.044    0.012    0.012    0.005    0.005
Ortalama    0.005    0.030    0.029    0.012    0.027    0.343    0.278    0.099    0.054    0.033    0.013    0.014
LT/SN/Km2   0.505    3.05     2.91     1.21     2.70    34.7     28.1      9.96     5.41     3.38     1.31     1.41
AKIM mm.    1.35     7.91     7.79     3.24     6.54    92.9     72.8     26.7     14.0      9.06     3.50     3.65
MİL. M3     0.013    0.078    0.077    0.032    0.065    0.920    0.720    0.264    0.139    0.090    0.035    0.036
========================================================================================================================
SU YILI  ( 2005 )  YILLIK TOPLAM AKIM  2.47 MİLYON M3         249 MM.        7.9 LT/SN/Km2"
D14A117,423,"Maks.       0.603    1.10     0.770   39.0      5.30    52.0      3.33     6.80     1.80     0.220    0.100    4.00
Min.        0.100    0.100    0.130    0.220    0.320    0.990    0.770    0.603    0.220    0.100    0.049    0.070
Ortalama    0.144    0.124    0.220    0.886    1.32     3.16     1.89     1.73     0.560    0.148    0.090    0.133
LT/SN/Km2   1.84     1.59     2.82    11.4     16.9     40.6     24.2     22.2      7.18     1.90     1.15     1.71
AKIM mm.    4.93     4.13     7.55    30.4     41.0    109.      62.8     59.6     18.6      5.08     3.07     4.43
MİL. M3     0.384    0.322    0.589    2.37     3.20     8.47     4.90     4.65     1.45     0.397    0.240    0.345
========================================================================================================================
SU YILI  ( 2005 )  YILLIK TOPLAM AKIM  27.32 MİLYON M3         350 MM.        11.1 LT/SN/Km2"
D14A141,433,"Maks.       0.068    0.034    0.020    0.086    0.250    0.566    0.160    0.160    0.120    0.280    0.052    0.019
Min.         KURU     KURU     KURU    0.001    0.005    0.034    0.050    0.030    0.019    0.040    0.003    0.003
Ortalama    0.013    0.005    0.005    0.013    0.028    0.104    0.090    0.094    0.054    0.053    0.017    0.008
LT/SN/Km2   0.633    0.214    0.237    0.642    1.35     4.95     4.28     4.46     2.59     2.54     0.813    0.371
AKIM mm.    1.70     0.555    0.634    1.72     3.27    13.2     11.1     12.0      6.71     6.79     2.18     0.963
MİL. M3     0.036    0.012    0.013    0.036    0.069    0.278    0.233    0.251    0.141    0.143    0.046    0.020
========================================================================================================================
SU YILI  ( 2005 )  YILLIK TOPLAM AKIM  1.28 MİLYON M3         61 MM.        1.9 LT/SN/Km2"
D14A162,439,"Maks.       0.840   12.5      3.67     3.03    14.0     103.     95.3     39.6     20.2      2.92     2.56     2.74
Min.        0.585    0.660    0.840    1.19     0.840    9.10    18.1     14.5      2.74     1.66     1.30     1.20
Ortalama    0.679    1.33     2.13     1.81     3.07    27.5     37.4     21.8      8.07     2.50     1.77     1.43
LT/SN/Km2   0.953    1.86     2.99     2.54     4.31    38.5     52.5     30.6     11.3      3.50     2.48     2.01
AKIM mm.    2.55     4.83     8.02     6.80    10.4     103.     136.     82.0     29.4      9.38     6.65     5.22
MİL. M3     1.82     3.44     5.72     4.84     7.44    73.5     97.1     58.4     20.9      6.69     4.74     3.72
========================================================================================================================
SU YILI  ( 2005 )  YILLIK TOPLAM AKIM  288.33 MİLYON M3         405 MM.        12.8 LT/SN/Km2"
D22A093,687,"Maks.      23.0     19.5     25.4     22.0     17.5     55.7     53.1     29.0     19.0      6.10     3.60    29.0
Min.        0.440    0.630    3.06     2.34     2.58     3.82     4.26     2.58     1.46     0.540    0.440    0.790
Ortalama    2.44     4.10     7.14     4.87     7.26    14.4     13.0      8.08     5.51     1.27     0.862    3.62
LT/SN/Km2  11.6     19.5     34.0     23.2     34.6     68.5     62.0     38.5     26.2      6.05     4.10    17.2
AKIM mm.   31.2     50.6     91.1     62.2     83.6    183.     161.     103.      68.0     16.2     11.0     44.7
MİL. M3     6.55    10.6     19.1     13.1     17.6     38.5     33.8     21.6     14.3      3.40     2.31     9.38
========================================================================================================================
SU YILI  ( 2005 )  YILLIK TOPLAM AKIM  190.24 MİLYON M3         906 MM.        28.7 LT/SN/Km2"
D22A105,693,"Maks.       7.18    32.4     23.1      8.62    14.2     31.8     14.7     32.4     22.5     14.2     31.1     46.2
Min.        0.190    0.260    1.56     0.540    1.00     2.06     0.540    0.330    0.295    0.110    0.090    0.090
Ortalama    0.523    3.43     4.93     2.09     3.03     5.26     3.25     2.49     1.13     0.303    0.340    0.791
LT/SN/Km2   7.02    46.0     66.1     28.1     40.7     70.6     43.7     33.4     15.2      4.07     4.56    10.6
AKIM mm.   18.8    119.     177.      75.3     98.4    189.     113.      89.6     39.5     10.9     12.2     27.5
MİL. M3     1.40     8.88    13.2      5.61     7.33    14.1      8.43     6.67     2.94     0.811    0.910    2.05
========================================================================================================================
SU YILI  ( 2005 )  YILLIK TOPLAM AKIM  72.33 MİLYON M3         971 MM.        30.8 LT/SN/Km2"
D22A106,694,"Maks.       4.60     1.60    33.0     13.0      6.20    30.4     80.9     10.9     17.2      3.28    10.9      2.76
Min.        0.706    0.910    1.60     1.20     1.60     1.20     3.28     1.03     0.536    1.14     0.968    0.968
Ortalama    1.29     1.32     3.74     2.54     3.28     6.19    22.6      2.97     1.95     1.52     1.19     1.14
LT/SN/Km2  10.6     10.8     30.7     20.8     26.9     50.8    186.      24.4     16.0     12.5      9.78     9.31
AKIM mm.   28.3     28.1     82.2     55.7     65.0    136.     481.      65.3     41.5     33.4     26.2     24.1
MİL. M3     3.45     3.43    10.0      6.80     7.93    16.6     58.7      7.97     5.06     4.08     3.20     2.94
========================================================================================================================
SU YILI  ( 2005 )  YILLIK TOPLAM AKIM  130.16 MİLYON M3         1067 MM.        33.8 LT/SN/Km2"
