station_code,page,raw_table_text
D14A186,544,"Maks.       KURU      KURU      KURU      KURU      0.015     0.015     0.007     0.028     0.053     0.011     KURU      KURU
Min.        KURU      KURU      KURU      KURU      KURU      KURU      0.004     0.004     0.007     KURU      KURU      KURU
Ortalama    KURU      KURU      KURU      KURU      0.002     0.005     0.007     0.009     0.013     0.002     KURU      KURU
LT/SN/Km2   KURU      KURU      KURU      KURU      0.150     0.420     0.618     0.779     1.16      0.173     KURU      KURU
AKIM mm.    KURU      KURU      KURU      KURU      0.362     1.12      1.60      2.09      3.00      0.462     KURU      KURU
MİL. M3     KURU      KURU      KURU      KURU      0.004     0.013     0.018     0.023     0.034     0.005     KURU      KURU
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  0.10 MİLYON M3         9 MM.        0.3 LT/SN/Km2"
D14A188,546,"Maks.       0.009     0.009     0.012     0.017     0.017     0.041     0.112     0.211     0.093     0.012     0.006     0.002
Min.        0.001     0.002     0.002     0.004     0.004     0.006     0.012     0.017     0.006     KURU      KURU      KURU
Ortalama    0.004     0.006     0.007     0.008     0.008     0.014     0.029     0.040     0.026     0.005     KURU      KURU
LT/SN/Km2   0.283     0.376     0.466     0.530     0.531     0.922     1.99      2.71      1.73      0.351     0.026     0.011
AKIM mm.    0.759     0.975     1.25      1.42      1.28      2.47      5.15      7.25      4.50      0.940     0.070     0.029
MİL. M3     0.011     0.014     0.018     0.021     0.019     0.037     0.076     0.107     0.067     0.014     0.001     KURU
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  0.38 MİLYON M3         26 MM.        0.8 LT/SN/Km2"
E14A002,557,"Maks.     228.      226.      270.      235.      244.      253.      178.      199.      239.      180.      133.      186.
Min.       15.4      15.0      18.6      16.8      19.0      43.0      32.5      19.5      15.9      12.2      19.5      19.0
Ortalama   93.1      52.7     126.       81.2     105.       81.6      71.5      55.2      90.2      58.1      67.6      67.8
LT/SN/Km2   2.75      1.56      3.72      2.39      3.09      2.41      2.11      1.63      2.66      1.72      1.99      2.00
AKIM mm.    7.36      4.03      9.97      6.41      7.47      6.44      5.47      4.36      6.89      4.59      5.34      5.18
MİL. M3   249.      137.      338.      217.      253.      218.      185.      148.      234.      156.      181.      176.
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  2492.00 MİLYON M3         74 MM.        2.3 LT/SN/Km2"
E14A027,562,"Maks.       7.23      5.07     96.9      83.4      90.6       3.98     41.0      41.0       4.34      4.89      3.98     63.7
Min.        3.27      1.70      1.79      1.79      2.61      1.36      1.89      1.50      2.88      2.61      3.01      3.01
Ortalama    4.46      2.91     30.1       5.11      7.09      2.17      3.18      7.94      3.57      3.46      3.52      6.39
LT/SN/Km2   0.521     0.339     3.52      0.596     0.828     0.253     0.371     0.927     0.416     0.404     0.411     0.745
AKIM mm.    1.39      0.879     9.42      1.60      2.00      0.678     0.962     2.48      1.08      1.08      1.10      1.93
MİL. M3    12.0       7.53     80.7      13.7      17.2       5.81      8.25     21.3       9.25      9.28      9.44     16.6
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  211.06 MİLYON M3         25 MM.        0.8 LT/SN/Km2"
E14A038,567,"Maks.       1.65      1.56      1.46      1.29      1.65      4.79     19.7       8.17      3.58      0.950     0.600     0.650
Min.        0.770     0.650     0.245     0.600     0.500     1.12      3.07      3.07      0.650     0.276     0.230     0.214
Ortalama    0.920     0.844     0.822     0.855     0.871     2.02      6.79      4.93      1.89      0.591     0.359     0.326
LT/SN/Km2   3.09      2.83      2.76      2.87      2.92      6.77     22.8      16.5       6.35      1.98      1.20      1.09
AKIM mm.    8.27      7.34      7.39      7.69      7.07     18.1      59.0      44.3      16.5       5.31      3.22      2.83
MİL. M3     2.46      2.19      2.20      2.29      2.11      5.40     17.6      13.2       4.91      1.58      0.961     0.844
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  55.74 MİLYON M3         187 MM.        5.9 LT/SN/Km2"
E14A040,568,"Maks.       0.217     0.306     0.552     2.67      7.83     12.4      17.4       9.24     49.4       0.720     0.002     KURU
Min.        KURU      KURU      0.015     0.262     0.177     2.90      1.75      0.608     0.664     KURU      KURU      KURU
Ortalama    0.034     0.067     0.132     0.668     1.99      6.08      4.54      1.76      3.43      0.067     KURU      KURU
LT/SN/Km2   0.099     0.199     0.392     1.98      5.89     18.0      13.4       5.21     10.2       0.199     0.001     KURU
AKIM mm.    0.266     0.515     1.05      5.29     14.2      48.2      34.8      14.0      26.3       0.533     0.003     KURU
MİL. M3     0.090     0.174     0.355     1.79      4.81     16.3      11.8       4.72      8.90      0.180     0.001     KURU
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  49.12 MİLYON M3         145 MM.        4.6 LT/SN/Km2"
D22A093,901,"Maks.      18.2       9.56     16.9       8.19     16.4      30.7      23.2      12.1      13.8       3.76      4.03      4.03
Min.        0.720     0.917     2.21      1.51      1.84      4.29      2.21      0.813     1.02      0.294     0.244     0.080
Ortalama    4.12      3.02      4.91      3.47      6.46     13.8      10.2       5.93      4.49      0.888     0.613     0.725
LT/SN/Km2  19.6      14.4      23.4      16.5      30.7      65.5      48.8      28.2      21.4       4.23      2.92      3.45
AKIM mm.   52.5      37.3      62.6      44.2      74.4     175.      126.       75.6      55.4      11.3       7.82      8.95
MİL. M3    11.0       7.83     13.2       9.28     15.6      36.8      26.6      15.9      11.6       2.38      1.64      1.88
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  153.71 MİLYON M3         732 MM.        23.2 LT/SN/Km2"
D22A098,902,"Maks.       5.91      4.79      5.91      4.57     11.6      17.1      41.7      41.0      26.2      14.0      10.7       5.46
Min.        0.808     0.706     0.808     0.808     0.960     5.53      9.74     17.1       8.64      3.69      1.12      0.655
Ortalama    1.38      1.22      1.23      1.08      3.57     10.1      21.5      26.5      16.6       6.14      3.34      1.02
LT/SN/Km2   4.31      3.81      3.83      3.36     11.1      31.3      66.8      82.5      51.8      19.1      10.4       3.18
AKIM mm.   11.5       9.87     10.3       9.00     26.9      83.8     173.      221.      134.       51.2      27.8       8.25
MİL. M3     3.71      3.17      3.30      2.89      8.65     27.0      55.7      71.0      43.1      16.5       8.94      2.65
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  246.61 MİLYON M3         767 MM.        24.3 LT/SN/Km2"
D22A105,904,"Maks.       6.08     25.5      29.4      16.3      21.2      14.9       7.69     13.4      20.1       1.42     15.8       3.17
Min.        0.196     0.460     1.27      1.27      0.973     0.973     0.607     0.313     0.240     0.109     0.109     0.109
Ortalama    1.36      2.12      4.12      3.91      5.55      3.32      1.62      1.72      1.32      0.242     0.501     0.271
LT/SN/Km2  18.3      28.4      55.3      52.5      74.5      44.5      21.8      23.1      17.8       3.24      6.73      3.64
AKIM mm.   49.0      73.7     148.      141.      180.      119.       56.5      61.8      46.1       8.68     18.0       9.44
MİL. M3     3.65      5.49     11.0      10.5      13.4       8.89      4.21      4.61      3.43      0.647     1.34      0.703
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  67.87 MİLYON M3         911 MM.        28.9 LT/SN/Km2"
D22A106,905,"Maks.      12.1      14.1      14.7       4.10     11.5      11.0       9.50     19.1      21.1       3.85      6.81      6.81
Min.        0.970     1.13      2.26      1.81      2.11      3.10      3.10      1.96      1.52      0.649     0.523     0.478
Ortalama    2.98      3.09      4.24      2.57      4.52      5.53      4.89      4.83      4.44      1.30      1.29      1.30
LT/SN/Km2  24.4      25.3      34.8      21.1      37.0      45.3      40.1      39.6      36.4      10.7      10.5      10.7
AKIM mm.   65.4      65.6      93.2      56.4      89.6     121.      104.      106.       94.3      28.5      28.2      27.6
MİL. M3     7.98      8.01     11.4       6.88     10.9      14.8      12.7      12.9      11.5       3.48      3.44      3.37
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  107.36 MİLYON M3         880 MM.        27.9 LT/SN/Km2"
E22A053,935,"Maks.      21.0      34.4      32.7      10.8      26.3      50.5      72.8      85.2      79.9      11.7      28.4      43.6
Min.        4.52      4.71      5.78      5.33      5.55     14.9      24.2      25.8       7.65      4.52      3.74      7.54
Ortalama    7.68      7.95     11.0       7.45     11.8      26.5      38.1      39.7      27.4       5.79      6.99     10.4
LT/SN/Km2   9.96     10.3      14.2       9.67     15.3      34.4      49.4      51.6      35.5       7.51      9.07     13.5
AKIM mm.   26.7      26.7      38.2      25.9      37.0      92.2     128.      138.       92.0      20.1      24.3      35.1
MİL. M3    20.6      20.6      29.4      20.0      28.5      71.0      98.7     106.       70.9      15.5      18.7      27.0
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  526.90 MİLYON M3         684 MM.        21.7 LT/SN/Km2"
E22A054,936,"Maks.      16.3      58.1      58.1      33.6      59.1      51.0      23.3      21.8     182.        2.08      3.34    142.
Min.        1.02      1.02      3.34      2.08      3.34      3.88      1.46      0.880     0.785     0.500     0.349     0.236
Ortalama    2.97      4.95      9.69      9.14     14.3      10.4       4.36      3.07      5.71      0.844     0.613     1.61
LT/SN/Km2  13.4      22.3      43.6      41.1      64.5      46.9      19.6      13.8      25.7       3.80      2.76      7.24
AKIM mm.   35.8      57.8     117.      110.      156.      126.       50.8      37.1      66.6      10.2       7.39     18.8
MİL. M3     7.96     12.8      25.9      24.5      34.7      27.9      11.3       8.23     14.8       2.26      1.64      4.17
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  176.16 MİLYON M3         793 MM.        25.1 LT/SN/Km2"
E22A062,938,"Maks.       1.15      6.02     14.1      16.7      26.2      27.2      50.5      33.8      39.0       3.79      1.27      1.96
Min.        0.798     0.570     0.710     3.26      2.74      3.79      5.00      4.68      3.53      1.27      0.710     0.360
Ortalama    0.914     0.818     2.73      6.28      8.03      7.66     10.5       8.84      6.39      2.02      0.981     0.613
LT/SN/Km2   1.24      1.11      3.69      8.49     10.9      10.4      14.2      11.9       8.63      2.73      1.33      0.829
AKIM mm.    3.31      2.87      9.88     22.7      26.3      27.7      36.9      32.0      22.4       7.30      3.55      2.15
MİL. M3     2.45      2.12      7.31     16.8      19.4      20.5      27.3      23.7      16.6       5.41      2.63      1.59
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  145.81 MİLYON M3         197 MM.        6.2 LT/SN/Km2"
E22A063,939,"Maks.      29.0      28.2      31.9       9.34     18.8      32.8      26.6      39.7      46.6       4.44      5.97      6.69
Min.        1.79      1.64      3.89      2.79      2.79      7.05      4.71      2.23      1.06      0.469     0.469     0.177
Ortalama    7.25      5.17      7.85      4.66      7.79     15.4      11.1       9.33      7.18      1.11      1.10      1.46
LT/SN/Km2  26.4      18.8      28.6      17.0      28.4      56.0      40.4      34.0      26.2       4.05      4.00      5.33
AKIM mm.   70.7      48.8      76.6      45.5      68.7     150.      105.       91.1      67.8      10.9      10.7      13.8
MİL. M3    19.4      13.4      21.0      12.5      18.9      41.2      28.7      25.0      18.6       2.98      2.94      3.79
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  208.41 MİLYON M3         759 MM.        24.1 LT/SN/Km2"
E22A065,940,"Maks.       4.98     30.6      51.7      29.4      33.0      38.3      31.8      31.8      34.2       5.38      3.37      3.09
Min.        0.562     0.723     2.54      2.54      3.37      7.72      5.38      1.73      0.974     0.089     0.076     0.320
Ortalama    1.16      2.98      8.31      9.51     12.9      14.7       9.49      6.37      4.79      1.25      0.706     0.511
LT/SN/Km2   3.01      7.71     21.5      24.6      33.3      37.9      24.5      16.5      12.4       3.24      1.83      1.32
AKIM mm.    8.06     20.0      57.6      65.9      80.5     102.       63.6      44.1      32.1       8.69      4.90      3.43
MİL. M3     3.11      7.73     22.3      25.5      31.1      39.2      24.6      17.0      12.4       3.36      1.89      1.32
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  189.51 MİLYON M3         490 MM.        15.6 LT/SN/Km2"
E22A066,941,"Maks.       8.78     52.3      65.3      33.5      41.2      34.2      37.1      37.8      85.1       2.90      3.49      8.07
Min.        0.869     1.28      4.58      4.12      5.05      8.07      4.58      2.90      2.11      0.727     0.566     0.325
Ortalama    2.01      4.03     10.3      11.3      15.4      16.2       9.70      5.85      5.43      1.35      0.796     0.606
LT/SN/Km2   5.37     10.8      27.6      30.2      41.2      43.3      26.0      15.7      14.5       3.60      2.13      1.62
AKIM mm.   14.4      27.9      73.8      80.9      99.6     116.       67.3      42.0      37.7       9.65      5.71      4.21
MİL. M3     5.37     10.4      27.6      30.2      37.2      43.3      25.1      15.7      14.1       3.60      2.13      1.57
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  216.27 MİLYON M3         579 MM.        18.4 LT/SN/Km2"
E22A071,945,"Maks.      11.2      26.2      34.6      23.2      30.6      18.1      17.4      18.1      53.4       1.52      1.64     22.0
Min.        0.673     0.673     5.27      4.13      5.50      4.13      2.38      1.27      1.02      0.469     0.294     0.197
Ortalama    2.10      3.51      9.52     10.6      12.6       9.58      5.30      3.98      3.75      0.660     0.551     0.604
LT/SN/Km2   9.29     15.5      42.1      47.1      55.9      42.4      23.5      17.6      16.6       2.92      2.44      2.67
AKIM mm.   24.9      40.3     113.      126.      135.      114.       60.8      47.1      43.0       7.82      6.54      6.93
MİL. M3     5.63      9.11     25.5      28.5      30.6      25.7      13.7      10.6       9.71      1.77      1.48      1.57
===============================================================================================================================
SU YILI  ( 2017 )  YILLIK TOPLAM AKIM  163.87 MİLYON M3         725 MM.        23.0 LT/SN/Km2"
