station_code,page,oct_max,nov_max,dec_max,jan_max,feb_max,mar_max,apr_max,may_max,jun_max,jul_max,aug_max,sep_max,oct_min,nov_min,dec_min,jan_min,feb_min,mar_min,apr_min,may_min,jun_min,jul_min,aug_min,sep_min,oct_avg,nov_avg,dec_avg,jan_avg,feb_avg,mar_avg,apr_avg,may_avg,jun_avg,jul_avg,aug_avg,sep_avg,oct_ltsnkm2,nov_ltsnkm2,dec_ltsnkm2,jan_ltsnkm2,feb_ltsnkm2,mar_ltsnkm2,apr_ltsnkm2,may_ltsnkm2,jun_ltsnkm2,jul_ltsnkm2,aug_ltsnkm2,sep_ltsnkm2,oct_mm,nov_mm,dec_mm,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mil_m3,nov_mil_m3,dec_mil_m3,jan_mil_m3,feb_mil_m3,mar_mil_m3,apr_mil_m3,may_mil_m3,jun_mil_m3,jul_mil_m3,aug_mil_m3,sep_mil_m3,annual_total_m3,annual_mm,annual_lt_sn_km2
D14A064,487,0.24,0.24,0.61,0.39,0.67,0.495,0.495,0.61,0.61,0.165,0.1,13.7,0.165,0.165,0.24,0.2,0.165,0.39,0.44,0.29,0.055,0.024,0.014,0.014,0.212,0.192,0.277,0.266,0.373,0.427,0.482,0.446,0.161,0.062,0.039,0.707,2.12,1.92,2.77,2.66,3.73,4.27,4.82,4.46,1.61,0.619,0.392,7.07,5.67,4.99,7.42,7.12,9.02,11.4,12.5,11.9,4.18,1.66,1.05,18.3,0.567,0.499,0.742,0.712,0.902,1.14,1.25,1.19,0.418,0.166,0.105,1.83,,,
D14A081,489,0.012,0.36,0.044,0.044,0.76,0.76,0.36,1.38,0.132,0.012,0.012,0.012,0.012,0.012,0.005,0.005,0.012,0.132,0.07,0.07,0.005,0.001,0.001,0.012,0.012,0.038,0.024,0.022,0.207,0.203,0.124,0.115,0.028,0.003,0.005,0.012,1.21,3.8,2.46,2.25,20.9,20.5,12.6,11.6,2.82,0.297,0.528,1.21,3.25,9.84,6.58,6.02,50.6,54.9,32.5,31.0,7.32,0.794,1.41,3.14,0.032,0.097,0.065,0.06,0.501,0.543,0.322,0.307,0.072,0.008,0.014,0.031,,,
D14A117,493,0.265,0.45,0.22,0.77,7.96,3.0,7.38,6.2,0.45,0.17,0.1,0.1,0.07,0.1,0.13,0.13,0.22,0.99,0.52,0.52,0.13,0.07,0.049,0.049,0.112,0.136,0.139,0.261,1.32,1.72,1.35,0.962,0.22,0.109,0.076,0.072,1.43,1.74,1.79,3.35,16.9,22.0,17.3,12.3,2.82,1.4,0.979,0.918,3.83,4.51,4.79,8.97,40.9,59.1,44.9,33.1,7.31,3.76,2.62,2.38,0.299,0.352,0.373,0.7,3.19,4.61,3.51,2.58,0.57,0.293,0.205,0.186,,,
D14A162,509,7.24,3.74,8.18,3.42,11.6,132.0,89.0,102.0,21.0,5.65,2.17,3.46,1.3,2.02,2.02,2.02,2.02,11.0,27.0,19.0,5.03,1.8,0.84,1.32,2.17,2.73,3.03,2.63,5.72,39.9,44.8,38.7,10.4,3.35,1.41,2.23,3.04,3.83,4.26,3.69,8.03,55.9,62.9,54.2,14.5,4.71,1.98,3.13,8.14,9.92,11.4,9.9,19.4,150.0,163.0,145.0,37.7,12.6,5.31,8.13,5.8,7.07,8.12,7.05,13.8,107.0,116.0,104.0,26.9,8.98,3.79,5.79,,,
D22A093,808,45.0,37.0,5.54,11.8,19.0,55.7,34.6,40.2,5.26,84.0,1.46,8.1,1.0,2.22,1.25,1.46,1.68,6.1,2.88,1.25,0.72,0.93,0.49,0.49,10.5,7.87,2.2,3.47,6.25,11.7,9.11,8.22,1.07,4.98,0.687,1.39,50.1,37.5,10.5,16.5,29.7,55.6,43.4,39.2,5.09,23.7,3.27,6.63,134.0,97.2,28.0,44.2,72.0,149.0,112.0,105.0,13.2,63.5,8.76,17.2,28.2,20.4,5.88,9.29,15.1,31.3,23.6,22.0,2.77,13.3,1.84,3.61,177290000.0,844.0,26.8
D22A105,813,28.5,33.1,4.05,11.1,18.7,15.2,22.0,7.52,170.0,110.0,35.0,8.62,0.22,0.22,0.42,1.0,1.14,1.0,0.54,0.375,0.11,0.54,0.09,0.6,2.05,3.84,1.17,2.34,5.97,3.37,2.43,1.61,6.46,11.2,2.67,1.5,27.5,51.6,15.8,31.4,80.2,45.3,32.6,21.6,86.7,150.0,35.9,20.2,73.6,134.0,42.2,84.2,194.0,121.0,84.6,57.9,225.0,403.0,96.1,52.3,5.49,9.96,3.15,6.27,14.4,9.04,6.3,4.31,16.7,30.0,7.16,3.89,116670000.0,1566.0,49.7
D22A106,814,39.7,18.6,5.4,7.8,17.9,16.5,29.8,20.0,1.5,107.0,1.5,1.7,1.3,1.4,1.2,1.03,1.14,1.86,1.6,1.03,0.842,0.774,0.842,0.638,6.92,5.75,1.82,1.92,3.65,4.43,4.18,3.58,0.945,3.79,0.983,0.946,56.8,47.1,14.9,15.7,29.9,36.3,34.2,29.4,7.75,31.0,8.05,7.76,152.0,122.0,39.9,42.1,72.4,97.2,88.7,78.6,20.1,83.1,21.6,20.1,18.5,14.9,4.86,5.14,8.83,11.9,10.8,9.59,2.45,10.1,2.63,2.45,102150000.0,837.0,26.6
