station_code,page,raw_table_text
D14A064,456,"Maks.       0.680     0.440     0.440     1.30      3.20      6.40      4.05      0.920     0.840     0.440     0.105     0.118
Min.        0.150     0.210     0.250     0.330     0.600     0.840     0.760     0.330     0.210     0.080     0.059     0.059
Ortalama    0.195     0.262     0.267     0.507     0.756     1.18      0.990     0.572     0.353     0.193     0.078     0.089
LT/SN/Km2   1.95      2.62      2.67      5.07      7.56     11.8       9.90      5.72      3.53      1.93      0.778     0.889
AKIM mm.    5.24      6.79      7.16     13.6      18.3      31.5      25.7      15.3       9.14      5.17      2.08      2.30
MİL. M3     0.524     0.679     0.716     1.36      1.83      3.15      2.57      1.53      0.914     0.517     0.208     0.230
===============================================================================================================================
SU YILI  ( 2010 )  YILLIK TOPLAM AKIM  14.23 MİLYON M3         142 MM.        4.5 LT/SN/Km2"
D14A117,459,"Maks.       0.220     1.95      0.905     5.53     12.2       4.95      3.80      1.12      1.53      0.300     0.130     0.130
Min.        0.130     0.130     0.260     0.520     0.905     0.590     0.520     0.350     0.220     0.100     0.049     0.049
Ortalama    0.139     0.467     0.431     1.12      1.48      1.31      1.26      0.582     0.422     0.156     0.069     0.075
LT/SN/Km2   1.78      5.98      5.53     14.4      19.0      16.7      16.1       7.46      5.40      2.00      0.883     0.956
AKIM mm.    4.77     15.5      14.8      38.6      46.0      44.8      41.8      20.0      14.0       5.36      2.36      2.48
MİL. M3     0.372     1.21      1.16      3.01      3.58      3.50      3.26      1.56      1.09      0.418     0.184     0.193
===============================================================================================================================
SU YILI  ( 2010 )  YILLIK TOPLAM AKIM  19.54 MİLYON M3         250 MM.        7.9 LT/SN/Km2"
D14A162,474,"Maks.       2.38     91.1      33.6      21.8      63.1     104.       48.3      16.3      22.2       4.92      1.49      1.05
Min.        0.894     1.05      4.92     10.7      11.1      16.3      13.9       8.50      2.60      0.153     0.048     0.039
Ortalama    1.21     12.2      11.7      14.1      19.2      28.6      18.9      13.2       6.48      1.58      0.105     0.070
LT/SN/Km2   1.70     17.2      16.4      19.7      27.0      40.2      26.5      18.5       9.10      2.22      0.148     0.098
AKIM mm.    4.57     44.5      43.9      52.8      65.2     108.       68.6      49.5      23.6       5.96      0.395     0.253
MİL. M3     3.25     31.7      31.3      37.6      46.5      76.7      48.9      35.3      16.8       4.24      0.282     0.180
===============================================================================================================================
SU YILI  ( 2010 )  YILLIK TOPLAM AKIM  332.75 MİLYON M3         467 MM.        14.8 LT/SN/Km2"
D14A172,481,"Maks.     161.      205.      224.      218.      166.      418.      233.      235.      183.      183.      176.      161.
Min.       11.0      13.8      45.0      95.6      54.1     132.       64.0      21.1      39.4      34.9      40.3      10.0
Ortalama   61.2      97.5     119.      150.      132.      211.      189.      175.       96.4      92.4     114.       61.8
LT/SN/Km2   5.72      9.12     11.1      14.0      12.3      19.8      17.7      16.3       9.01      8.64     10.7       5.78
AKIM mm.   15.3      23.6      29.9      37.5      29.9      52.9      45.8      43.8      23.4      23.1      28.6      15.0
MİL. M3   164.      253.      319.      401.      319.      566.      490.      468.      250.      247.      306.      160.
===============================================================================================================================
SU YILI  ( 2010 )  YILLIK TOPLAM AKIM  3943.00 MİLYON M3         369 MM.        11.7 LT/SN/Km2"
D14A176,485,"Maks.      19.2       4.75      5.67     20.8      79.0      58.1      24.0      20.8      42.0      12.8      20.0      17.1
Min.        3.60      3.44      2.96      3.60      7.05     11.8       7.28      4.06      5.90      4.98      5.90      6.13
Ortalama   12.7       5.27      5.26      8.43     27.5      34.2      13.0      10.1      12.9      10.7      12.6      12.9
LT/SN/Km2   3.35      1.39      1.39      2.23      7.27      9.04      3.44      2.66      3.40      2.82      3.33      3.42
AKIM mm.    8.97      3.61      3.73      5.97     17.6      24.2       8.92      7.12      8.81      7.55      8.93      8.87
MİL. M3    33.9      13.7      14.1      22.6      66.6      91.5      33.8      26.9      33.3      28.5      33.8      33.6
===============================================================================================================================
SU YILI  ( 2010 )  YILLIK TOPLAM AKIM  432.30 MİLYON M3         114 MM.        3.6 LT/SN/Km2"
D14A179,488,"Maks.     268.      280.      275.      286.      513.      488.      439.      353.      340.      396.      264.      238.
Min.       38.2      39.0      39.0      51.0     215.      233.      250.       56.0      54.0      56.0      44.4      33.9
Ortalama  130.      182.      189.      231.      320.      371.      307.      268.      180.      212.      145.      116.
LT/SN/Km2   3.62      5.08      5.27      6.44      8.92     10.3       8.55      7.46      5.01      5.92      4.04      3.24
AKIM mm.    9.68     13.2      14.1      17.2      21.6      27.7      22.2      20.0      13.0      15.9      10.8       8.40
MİL. M3   347.      472.      507.      618.      774.      994.      795.      717.      466.      569.      388.      301.
===============================================================================================================================
SU YILI  ( 2010 )  YILLIK TOPLAM AKIM  6948.00 MİLYON M3         194 MM.        6.1 LT/SN/Km2"
D22A093,752,"Maks.      18.8     152.       16.2      26.6      40.2      54.0      19.0      34.6      28.4       9.06      2.77      1.90
Min.        0.410     2.28      2.72      2.72      4.26      3.76      2.55      1.20      0.620     0.780     0.460     0.540
Ortalama    2.28     16.8       5.21      6.00     13.5       9.21      6.50      3.23      3.06      1.80      0.584     0.742
LT/SN/Km2  10.8      80.0      24.8      28.6      64.4      43.9      31.0      15.4      14.6       8.57      2.78      3.53
AKIM mm.   29.1     207.       66.4      76.5     156.      118.       80.2      41.3      37.8      23.0       7.45      9.15
MİL. M3     6.10     43.5      14.0      16.1      32.7      24.7      16.8       8.66      7.94      4.82      1.56      1.92
===============================================================================================================================
SU YILI  ( 2010 )  YILLIK TOPLAM AKIM  178.80 MİLYON M3         851 MM.        27.0 LT/SN/Km2"
D22A105,757,"Maks.      16.5      41.4      25.5      12.9      11.6      14.2      23.7       3.80     47.0     200.        4.35      2.38
Min.        0.220     0.420     0.480     0.850     0.725     0.600     0.540     0.330     0.330     0.060     0.159     0.159
Ortalama    0.891     5.39      1.48      3.00      1.82      2.64      2.47      0.535     1.93      6.71      0.252     0.321
LT/SN/Km2  12.0      72.4      19.8      40.2      24.5      35.5      33.2       7.18     25.9      90.1       3.38      4.31
AKIM mm.   32.0     188.       53.2     108.       59.2      95.0      86.1      19.2      67.1     241.        9.05     11.2
MİL. M3     2.39     14.0       3.96      8.03      4.41      7.07      6.41      1.43      5.00     18.0       0.674     0.832
===============================================================================================================================
SU YILI  ( 2010 )  YILLIK TOPLAM AKIM  72.21 MİLYON M3         969 MM.        30.7 LT/SN/Km2"
