file_name,page,region,station_code,station_name,coordinates
dsi_2020.pdf,530,14. Yesilirmak Havzasi,E14A018,YEŞİLIRMAK N. GÖMELEÖNÜ,"37°7'43"" Doğu - 40°18'42"" Kuzey"
dsi_2020.pdf,531,14. Yesilirmak Havzasi,E14A022,KELKİT Ç. ÇİÇEKBÜKÜ,"39°18'42"" Doğu - 40°6'55"" Kuzey"
dsi_2020.pdf,532,14. Yesilirmak Havzasi,E14A024,ÇEKEREK Ç. ÇIRDAK KÖPRÜSÜ,"36°8'47"" Doğu - 40°0'29"" Kuzey"
dsi_2020.pdf,533,14. Yesilirmak Havzasi,E14A027,KELKİT ÇAYI YEMİŞLI KÖPRÜSÜ,"37°58'23"" Doğu - 40°14'13"" Kuzey"
dsi_2020.pdf,534,14. Yesilirmak Havzasi,E14A030,KÖROĞLU D. KÖROĞLU,"38°42'28"" Doğu - 39°57'17"" Kuzey"
dsi_2020.pdf,536,14. Yesilirmak Havzasi,E14A034,TERSAKAN Ç. GÖLLÜBAĞLAR,"35°50'11"" Doğu - 40°40'24"" Kuzey"
dsi_2020.pdf,537,14. Yesilirmak Havzasi,E14A038,POLAT D. CEVİZLİ,"38°11'21"" Doğu - 40°6'13"" Kuzey"
dsi_2020.pdf,538,14. Yesilirmak Havzasi,E14A040,DELİ ÇAY DERBENTÇİ,"36°9'36"" Doğu - 40°28'48"" Kuzey"
dsi_2020.pdf,851,22. Dogu Karadeniz Havzasi,D22A006,ABUÇAĞLAYAN D. KÖPRÜBAŞI,"41°15'3"" Doğu - 41°15'0"" Kuzey"
dsi_2020.pdf,852,22. Dogu Karadeniz Havzasi,D22A007,HALDİZEN S. ŞERAH,"40°17'23"" Doğu - 40°37'28"" Kuzey"
dsi_2020.pdf,853,22. Dogu Karadeniz Havzasi,D22A044,KARADERE AYTAŞ,"39°54'0"" Doğu - 40°41'15"" Kuzey"
dsi_2020.pdf,854,22. Dogu Karadeniz Havzasi,D22A049,KAPİSTRE D. BAŞKÖY,"41°20'49"" Doğu - 41°18'28"" Kuzey"
dsi_2020.pdf,855,22. Dogu Karadeniz Havzasi,D22A058,GÖRELE D. CÜCEN KÖPRÜSÜ,"39°0'41"" Doğu - 40°53'10"" Kuzey"
dsi_2020.pdf,857,22. Dogu Karadeniz Havzasi,D22A079,KAPİSTRE D. ÇAMLICA,"41°23'7"" Doğu - 41°16'36"" Kuzey"
dsi_2020.pdf,858,22. Dogu Karadeniz Havzasi,D22A082,SALARHA D. KÖMÜRCÜLER,"40°32'34"" Doğu - 40°55'40"" Kuzey"
dsi_2020.pdf,859,22. Dogu Karadeniz Havzasi,D22A084,KORUM D. YAĞLIDERE,"39°27'59"" Doğu - 40°33'47"" Kuzey"
dsi_2020.pdf,860,22. Dogu Karadeniz Havzasi,D22A085,ŞENÖZ D. KAPTANPAŞA,"40°46'48"" Doğu - 40°57'35"" Kuzey"
dsi_2020.pdf,861,22. Dogu Karadeniz Havzasi,D22A086,DEĞİRMEN D. ÖĞÜTLÜ,"39°40'44"" Doğu - 40°51'55"" Kuzey"
dsi_2020.pdf,862,22. Dogu Karadeniz Havzasi,D22A089,BALLI D. KÜÇÜKKÖY,"41°21'50"" Doğu - 41°15'52"" Kuzey"
dsi_2020.pdf,863,22. Dogu Karadeniz Havzasi,D22A093,TURNASUYU CUMHURİYET KÖYÜ,"37°57'40"" Doğu - 40°49'50"" Kuzey"
dsi_2020.pdf,864,22. Dogu Karadeniz Havzasi,D22A095,YAYLA D. SÖĞÜTAĞIL,"39°46'59"" Doğu - 40°27'16"" Kuzey"
dsi_2020.pdf,866,22. Dogu Karadeniz Havzasi,D22A098,AKSU D. SÜRMEN,"38°22'0"" Doğu - 40°36'0"" Kuzey"
dsi_2020.pdf,868,22. Dogu Karadeniz Havzasi,D22A105,DEĞİRMEN D. SALIPAZARI,"36°49'19"" Doğu - 41°4'24"" Kuzey"
